Pokemon,No.,Caught?,Diamond,Pearl,Platinum,HeartGold,SoulSilver,Pal Park,Pokéwalker
Wurmple,#0265,False,"Eterna Forest Routes 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 218, 221, 222, Eterna Forest, Floaroma Meadow, Fuego Ironworks, Valley Windworks (Honey Trees)","Eterna Forest Routes 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 218, 221, 222, Eterna Forest, Floaroma Meadow, Fuego Ironworks, Valley Windworks (Honey Trees)","Routes 204 and 205, Eterna Forest Routes 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 218, 221, 222, Eterna Forest, Floaroma Meadow, Fuego Ironworks, Valley Windworks (Honey Trees)","Routes 1, 2, 3, 4, 12, 13, 14, 15, 18, 21, and 22, Pallet Town, Viridian City, Pewter City, Fuchsia City (Headbutt trees) National Park (Bug- Catching Contest) Th Sa","Routes 1, 2, 3, 4, 12, 13, 14, 15, 18, 21, and 22, Pallet Town, Viridian City, Pewter City, Fuchsia City (Headbutt trees) National Park (Bug- Catching Contest) Th Sa",Forest,Hoenn Field
Silcoon,#0266,False,"Eterna Forest Routes 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 218, 221, 222, Eterna Forest, Floaroma Meadow, Fuego Ironworks, Valley Windworks (Honey Trees)",Evolve Wurmple,"Route 205, Eterna Forest",National Park (Bug- Catching Contest) Th,National Park (Bug- Catching Contest) Th,Forest,
Beautifly,#0267,False,"Routes 224 and 230, Eterna Forest",Route 224,"Routes 205, 224, and 229, Eterna Forest",National Park (Bug- Catching Contest) Sa,National Park (Bug- Catching Contest) Sa,Forest,
Cascoon,#0268,False,Evolve Wurmple,"Eterna Forest Routes 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 218, 221, 222, Eterna Forest, Floaroma Meadow, Fuego Ironworks, Valley Windworks (Honey Trees)","Route 205, Eterna Forest",National Park (Bug- Catching Contest) Sa,National Park (Bug- Catching Contest) Sa,Forest,
Dustox,#0269,False,Evolve Cascoon,"Route 230, Eterna Forest","Routes 205, 224, and 229, Eterna Forest",National Park (Bug- Catching Contest) Th,National Park (Bug- Catching Contest) Th,Forest,
Lotad,#0270,False,"Routes 203, 204, 205, 212 (Sapphire)","Routes 203, 204, 205, 212 (Sapphire)","Routes 203, 204, 205, 212 (Sapphire)",Safari Zone (Desert with 8 Waterside points; Plains with 12 Waterside points),Safari Zone (Desert with 8 Waterside points; Plains with 12 Waterside points),Pond,
Lombre,#0271,False,Routes 212 and 229 (Sapphire),Routes 212 and 229 (Sapphire),Routes 212 and 229 (Sapphire),Safari Zone (tall grass in Wetland with 14 Plains points),Safari Zone (tall grass in Wetland with 14 Plains points),Pond,
Ludicolo,#0272,False,Evolve Lombre,Evolve Lombre,Evolve Lombre,Evolve Lombre,Evolve Lombre,Pond,
Seedot,#0273,False,"Routes 203, 204, 210, Eterna Forest (Ruby)","Routes 203, 204, 210, Eterna Forest (Ruby)","Routes 203, 204, 210, Eterna Forest (Ruby)",Viridian Forest (Headbutt trees) Safari Zone (tall grass in Meadow with 35 Plains points),Viridian Forest (Headbutt trees) Safari Zone (tall grass in Meadow with 35 Plains points),Forest,
Nuzleaf,#0274,False,"Routes 210, 229 (Ruby)","Routes 210, 229 (Ruby)","Routes 210, 229 (Ruby)","Safari Zone (tall grass in Meadow with 28 Forest points, and with 35 Forest points)","Safari Zone (tall grass in Meadow with 28 Forest points, and with 35 Forest points)",Forest,
Shiftry,#0275,False,Evolve Nuzleaf,Evolve Nuzleaf,Evolve Nuzleaf,Evolve Nuzleaf,Evolve Nuzleaf,Forest,
Taillow,#0276,False,Breed Swellow,Breed Swellow,Breed Swellow,Cherrygrove City (Headbutt trees*; post- National Dex),Cherrygrove City (Headbutt trees*; post- National Dex),Field,
Swellow,#0277,False,Route 213 (Poké Radar),Route 213 (Poké Radar),Route 213 (Poké Radar),Evolve Taillow,Evolve Taillow,Field,
Wingull,#0278,False,"Routes 213, 218, 221, and 222, Fuego Ironworks (Grass) Routes 205, 213, 218, 219, 220, 221, 222, and 229, Canalave City, Fuego Ironworks, Iron Island, Pastoria City, Valley Windworks (Surfing)","Routes 213, 218, 221, and 222, Fuego Ironworks (Grass) Routes 205, 213, 218, 219, 220, 221, 222, and 229, Canalave City, Fuego Ironworks, Iron Island, Pastoria City, Valley Windworks (Surfing)","Routes 213, 222, 226, and 230 (Grass) Routes 213, 219, 220, 221, 222, and 226, Pastoria City, Sunyshore City, Iron Island, Pokémon League (Surfing)",Vermilion City (Surfing during a Swarm),Vermilion City (Surfing during a Swarm),Sea,
Pelipper,#0279,False,"Routes 205, 213, 218, 219, 220, 221, 222, 223, 224, 226, 229, and 230, Canalave City, Fuego Ironworks, Iron Island, Pastoria City, Pokémon League, Sunyshore City, Valley Windworks (Surfing)","Routes 205, 213, 218, 219, 220, 221, 222, 223, 224, 226, 229, and 230, Canalave City, Fuego Ironworks, Iron Island, Pastoria City, Pokémon League, Sunyshore City, Valley Windworks (Surfing)","Routes 219, 220, 221, 223, and 226, Iron Island, Pokémon League, Sunyshore City (Surfing) Routes 222, 224, and 230 (Grass or Surfing)",Evolve Wingull,Evolve Wingull,Sea,Sightseeing
Ralts,#0280,False,Routes 203 and 204 (Poké Radar),Routes 203 and 204 (Poké Radar),"Routes 208, 209, and 212",Route 34 (Swarm),Route 34 (Swarm),Field,
Kirlia,#0281,False,Routes 203 and 204 (Poké Radar),Routes 203 and 204 (Poké Radar),Route 212 Route 209 (Poké Radar),Evolve Ralts,Evolve Ralts,Field,
Gardevoir,#0282,False,Evolve Kirlia,Evolve Kirlia,Evolve Kirlia,Evolve Kirlia,Evolve Kirlia,Field,
Surskit,#0283,False,Lake Verity (Swarm),Lake Verity (Swarm),Route 229 (Surfing),Safari Zone (Plains with 28 Waterside points; Forest with 24 Waterside points; tall grass in Wetland with 6 Plains points),Safari Zone (Plains with 28 Waterside points; Forest with 24 Waterside points; tall grass in Wetland with 6 Plains points),Pond,
Masquerain,#0284,False,Evolve Surskit,Evolve Surskit,Route 229,"Safari Zone (Surfing in Meadow with 10 Waterside points, and with 14 Waterside points)","Safari Zone (Surfing in Meadow with 10 Waterside points, and with 14 Waterside points)",Pond,
Shroomish,#0285,False,Great Marsh (after obtaining National Pokédex),Great Marsh (after obtaining National Pokédex),Great Marsh (after obtaining National Pokédex),Viridian Forest (Headbutt trees) Safari Zone (Savannah with 35 Forest points and 12 Plains points),Viridian Forest (Headbutt trees) Safari Zone (Savannah with 35 Forest points and 12 Plains points),Forest,
Breloom,#0286,False,Evolve Shroomish,Evolve Shroomish,Evolve Shroomish,Safari Zone (Wasteland with 42 Forest points),Safari Zone (Wasteland with 42 Forest points),Forest,
Slakoth,#0287,False,Eterna Forest (Swarm),Eterna Forest (Swarm),Eterna Forest (Swarm),Route 25 (Headbutt trees*),Route 25 (Headbutt trees*),Forest,
Vigoroth,#0288,False,Evolve Slakoth,Evolve Slakoth,Evolve Slakoth,Safari Zone (Peak with 56 Forest points and 28 Plains points),Safari Zone (Peak with 56 Forest points and 28 Plains points),Forest,
Slaking,#0289,False,Evolve Vigoroth,Evolve Vigoroth,Evolve Vigoroth,Evolve Vigoroth,Evolve Vigoroth,Forest,
Nincada,#0290,False,Eterna Forest (Poké Radar),Eterna Forest (Poké Radar),Eterna Forest (Poké Radar),National Park (Bug- Catching Contest) Th Sa,National Park (Bug- Catching Contest) Th Sa,Forest,
Ninjask,#0291,False,Evolve Nincada,Evolve Nincada,Evolve Nincada,Evolve Nincada,Evolve Nincada,Forest,
Shedinja,#0292,False,Evolve Nincada with extra slot in party and spare Poké Ball,Evolve Nincada with extra slot in party and spare Poké Ball,Evolve Nincada with extra slot in party and spare Poké Ball,Evolve Nincada with extra slot in party and spare Poké Ball,Evolve Nincada with extra slot in party and spare Poké Ball,Forest,
Whismur,#0293,False,Breed Loudred or Exploud,Breed Loudred or Exploud,Breed Loudred or Exploud,"Routes 30, 31, 32, 34, 35, 42, 43, 44, 45, 47, 4, 6, 9, 10, 13, 21, 22, 24, 25, 26, 27, and 28, Ruins of Alph, Mt. Silver (Hoenn Sound)","Routes 30, 31, 32, 34, 35, 42, 43, 44, 45, 47, 4, 6, 9, 10, 13, 21, 22, 24, 25, 26, 27, and 28, Ruins of Alph, Mt. Silver (Hoenn Sound)",Mountain,
Loudred,#0294,False,Mt. Coronet (Poké Radar),Mt. Coronet (Poké Radar),Mt. Coronet (Poké Radar),Evolve Whismur,Evolve Whismur,Mountain,
Exploud,#0295,False,Evolve Loudred,Evolve Loudred,Evolve Loudred,Evolve Loudred,Evolve Loudred,Mountain,
Makuhita,#0296,False,Route 225 (Swarm),Route 225 (Swarm),Route 225 (Swarm),"Slowpoke Well, Union Cave, Mt. Mortar, Dark Cave, Whirl Islands, Mt. Silver Cave, Ice Path, Cliff Cave, Diglett's Cave, Mt. Moon, Cerulean Cave, Rock Tunnel, Seafoam Islands, Victory Road, Tohjo Falls (Hoenn Sound)","Slowpoke Well, Union Cave, Mt. Mortar, Dark Cave, Whirl Islands, Mt. Silver Cave, Ice Path, Cliff Cave, Diglett's Cave, Mt. Moon, Cerulean Cave, Rock Tunnel, Seafoam Islands, Victory Road, Tohjo Falls (Hoenn Sound)",Mountain,
Hariyama,#0297,False,Evolve Makuhita,Evolve Makuhita,Evolve Makuhita,Evolve Makuhita,Evolve Makuhita,Mountain,
Azurill,#0298,False,"Trophy Garden (after obtaining the National Pokédex), Great Marsh","Trophy Garden (after obtaining the National Pokédex), Great Marsh",Trophy Garden,Safari Zone (Savannah with 5 Waterside points),Safari Zone (Savannah with 5 Waterside points),Pond,Warm Beach
Nosepass,#0299,False,Route 206 (Swarm),Route 206 (Swarm),Mt. Coronet,Safari Zone (tall grass in Meadow with 35 Peak points),Safari Zone (tall grass in Meadow with 35 Peak points),Mountain,
Skitty,#0300,False,Route 222 (Swarm),Route 222 (Swarm),Route 222 (Swarm),Transfer from Pokéwalker,Transfer from Pokéwalker,Field,Hoenn Field
Delcatty,#0301,False,Evolve Skitty,Evolve Skitty,Evolve Skitty,Evolve Pokéwalker Skitty,Evolve Pokéwalker Skitty,Field,
Sableye,#0302,False,Iron Island (Sapphire),Iron Island (Sapphire),Iron Island (Sapphire),Route 9 (Swarm),Trade,Mountain,Rally
Mawile,#0303,False,Iron Island (Ruby),Iron Island (Ruby),Iron Island (Ruby),Trade,Route 9 (Swarm),Mountain,
Aron,#0304,False,Fuego Ironworks (Poké Radar),Trade,Fuego Ironworks (Poké Radar),Safari Zone (tall grass in Rocky Beach with 24 Peak points),Safari Zone (tall grass in Rocky Beach with 24 Peak points),Mountain,
Lairon,#0305,False,Evolve Aron,Trade,Evolve Aron,Safari Zone (Peak with 24 Peak points),Safari Zone (Peak with 24 Peak points),Mountain,
Aggron,#0306,False,Evolve Lairon,Trade,Evolve Lairon,Evolve Lairon,Evolve Lairon,Mountain,
Meditite,#0307,False,"Routes 208, 210, 211, 216, and 217, Acuity Lakefront, Mt. Coronet","Routes 208, 210, 211, 216, and 217, Acuity Lakefront, Mt. Coronet","Routes 210, 211, 216, Mt. Coronet","Safari Zone (Mountain with 20 Forest points) Sprout Tower, Bell Tower, Burned Tower (Sinnoh Sound)","Safari Zone (Mountain with 20 Forest points) Sprout Tower, Bell Tower, Burned Tower (Sinnoh Sound)",Mountain,Volcano Path
Medicham,#0308,False,"Route 217, Acuity Lakefront, Mt. Coronet, Victory Road","Route 217, Acuity Lakefront, Mt. Coronet, Victory Road",Mt. Coronet,Safari Zone (Wasteland with 35 Forest points),Safari Zone (Wasteland with 35 Forest points),Mountain,
Electrike,#0309,False,Valley Windworks (Swarm),Valley Windworks (Swarm),Valley Windworks (Swarm),Safari Zone (tall grass in Rocky Beach with 10 Plains points),Safari Zone (tall grass in Rocky Beach with 10 Plains points),Field,
Manectric,#0310,False,Evolve Electrike,Evolve Electrike,Evolve Electrike,Safari Zone (Plains with 15 Plains points; tall grass in Rocky Beach with 10 Forest points; Wasteland with 3 Plains points),Safari Zone (Plains with 15 Plains points; tall grass in Rocky Beach with 10 Forest points; Wasteland with 3 Plains points),Field,
Plusle,#0311,False,Trophy Garden,Trophy Garden,Trophy Garden,"Routes 1, 2, 3, 5, 7, 8, 11, 14, 15, 16, 17, 18, 29, 33, 36, 37, 38, 39, 46, and 48, National Park (Hoenn Sound)","Routes 1, 2, 3, 5, 7, 8, 11, 14, 15, 16, 17, 18, 29, 33, 36, 37, 38, 39, 46, and 48, National Park (Hoenn Sound)",Field,
Minun,#0312,False,Trophy Garden,Trophy Garden,Trophy Garden,"Routes 1, 2, 3, 5, 7, 8, 11, 14, 15, 16, 17, 18, 29, 33, 36, 37, 38, 39, 46, and 48, National Park (Hoenn Sound)","Routes 1, 2, 3, 5, 7, 8, 11, 14, 15, 16, 17, 18, 29, 33, 36, 37, 38, 39, 46, and 48, National Park (Hoenn Sound)",Field,
Volbeat,#0313,False,Route 229,Route 229,Route 229,National Park (Bug- Catching Contest) Th Safari Zone (Mountain with 10 Plains points),National Park (Bug- Catching Contest) Th Safari Zone (Mountain with 10 Plains points),Mountain,Hoenn Field
Illumise,#0314,False,Route 229,Route 229,Route 229,National Park (Bug- Catching Contest) Sa Safari Zone (Wasteland with 10 Plains points),National Park (Bug- Catching Contest) Sa Safari Zone (Wasteland with 10 Plains points),Mountain,Hoenn Field
Roselia,#0315,False,"Routes 212, 221, 224, 225, 229, Trophy Garden, Great Marsh","Routes 212, 221, 224, and 225, Trophy Garden, Great Marsh","Routes 208, 209, 210, 212, 221, 224, 229, 230, Trophy Garden",Safari Zone (tall grass in Marshland with 49 Forest points),Safari Zone (tall grass in Marshland with 49 Forest points),Field,
Gulpin,#0316,False,Great Marsh (After obtaining the National Pokédex),Great Marsh (After obtaining the National Pokédex),Great Marsh (After obtaining the National Pokédex),Trade,Route 3 (Swarm),Forest,
Swalot,#0317,False,Evolve Gulpin,Evolve Gulpin,Evolve Gulpin,Trade,Evolve Gulpin,Forest,
Carvanha,#0318,False,Great Marsh (Super Rod),Great Marsh (Super Rod),Great Marsh (Super Rod),Transfer from Pokéwalker,Transfer from Pokéwalker,Sea,Warm Beach
Sharpedo,#0319,False,Routes 213 and 222 (Super Rod),Routes 213 and 222 (Super Rod),Evolve Carvanha,Evolve Pokéwalker Carvanha,Evolve Pokéwalker Carvanha,Sea,
Wailmer,#0320,False,Routes 223 and 230 (Super Rod),Routes 223 and 230 (Super Rod),Routes 223 and 230 (Super Rod),Trade or Transfer from Pokéwalker,Trade or Transfer from Pokéwalker,Sea,Warm Beach
Wailord,#0321,False,Routes 223 and 230 (Super Rod),Routes 223 and 230 (Super Rod),Routes 223 and 230 (Super Rod),Evolve Pokéwalker Wailmer,Evolve Pokéwalker Wailmer,Sea,
Numel,#0322,False,"Route 227, Stark Mountain","Route 227, Stark Mountain","Route 227, Stark Mountain","Ilex Forest, Viridian Forest (Hoenn Sound)","Ilex Forest, Viridian Forest (Hoenn Sound)",Mountain,
Camerupt,#0323,False,"Route 227, Stark Mountain","Route 227, Stark Mountain","Route 227, Stark Mountain",Evolve Numel,Evolve Numel,Mountain,
Torkoal,#0324,False,"Route 227, Stark Mountain (Poké Radar)","Route 227, Stark Mountain (Poké Radar)","Route 227, Stark Mountain (Poké Radar)",Safari Zone (Savannah with 35 Peak points),Safari Zone (Savannah with 35 Peak points),Mountain,
Spoink,#0325,False,Route 214 (Swarm),Route 214 (Swarm),Route 214 (Swarm),"Ilex Forest, Viridian Forest (Hoenn Sound)","Ilex Forest, Viridian Forest (Hoenn Sound)",Field,
Grumpig,#0326,False,Evolve Spoink,Evolve Spoink,Evolve Spoink,Evolve Spoink,Evolve Spoink,Field,
Spinda,#0327,False,Route 227 (Swarm),Route 227 (Swarm),Route 227 (Swarm),"Safari Zone (Desert with 14 Plains points) Sprout Tower, Bell Tower, Burned Tower (Hoenn Sound)","Safari Zone (Desert with 14 Plains points) Sprout Tower, Bell Tower, Burned Tower (Hoenn Sound)",Field,
Trapinch,#0328,False,Route 228 (Poké Radar),Route 228 (Poké Radar),Trade,Safari Zone (Desert with 49 Peak points),Safari Zone (Desert with 49 Peak points),Mountain,
Vibrava,#0329,False,Route 228 (Poké Radar),Route 228 (Poké Radar),Trade,Safari Zone (Desert with 49 Forest points),Safari Zone (Desert with 49 Forest points),Mountain,
Flygon,#0330,False,Evolve Vibrava,Evolve Vibrava,Trade,Evolve Vibrava,Evolve Vibrava,Mountain,
Cacnea,#0331,False,Route 228,Route 228,Route 228,Safari Zone (Desert with 35 Forest points),Safari Zone (Desert with 35 Forest points),Mountain,
Cacturne,#0332,False,Route 228,Route 228,Route 228,Safari Zone (Desert with 42 Waterside points; Savannah with 35 Forest points),Safari Zone (Desert with 42 Waterside points; Savannah with 35 Forest points),Mountain,
Swablu,#0333,False,Route 211* (Poké Radar),Route 211* (Poké Radar),Route 210,Route 45 (Swarm),Route 45 (Swarm),Field,
Altaria,#0334,False,Evolve Swablu,Evolve Swablu,Evolve Swablu,Evolve Swablu,Evolve Swablu,Field,
Zangoose,#0335,False,Routes 208 and 210 (Ruby),Routes 208 and 210 (Ruby),Routes 208 and 210 (Ruby),Safari Zone (Peak with 12 Plains points; Plains with 15 Peak points),Safari Zone (Peak with 12 Plains points; Plains with 15 Peak points),Field,
Seviper,#0336,False,"Routes 208, 210 (Sapphire)","Routes 208, 210 (Sapphire)","Routes 208, 210 (Sapphire)",Safari Zone (tall grass in Marshland with 35 Plains points),Safari Zone (tall grass in Marshland with 35 Plains points),Forest,
Lunatone,#0337,False,"Lake Verity, Lake Acuity, Lake Valor, Mt. Coronet, Sendoff Spring, Turnback Cave (Sapphire)","Lake Verity, Lake Acuity, Lake Valor, Mt. Coronet, Sendoff Spring, Turnback Cave (Sapphire)","Lake Verity, Lake Acuity, Lake Valor, Mt. Coronet, Sendoff Spring, Turnback Cave (Sapphire)",Safari Zone (Mountain with 15 Peak points),Safari Zone (Mountain with 15 Peak points),Mountain,
Solrock,#0338,False,"Lake Verity, Lake Acuity, Lake Valor, Mt. Coronet, Sendoff Spring, Turnback Cave (Ruby)","Lake Verity, Lake Acuity, Lake Valor, Mt. Coronet, Sendoff Spring, Turnback Cave (Ruby)","Lake Verity, Lake Acuity, Lake Valor, Mt. Coronet, Sendoff Spring, Turnback Cave (Ruby)",Safari Zone (Wasteland with 42 Peak points),Safari Zone (Wasteland with 42 Peak points),Mountain,
Barboach,#0339,False,"Routes 205, 208, 210, 212, 227, 228, Celestic Town, Eterna City, Great Marsh, Mt. Coronet, Oreburgh Gate, Ravaged Path (Good Rod)","Routes 205, 208, 210, 212, 227, 228, Celestic Town, Eterna City, Great Marsh, Mt. Coronet, Oreburgh Gate, Ravaged Path (Good Rod)","Routes 205, 210, 225, 227, 228, Eterna City, Great Marsh, Mt. Coronet, Oreburgh Gate, Ravaged Path (Good Rod)","Safari Zone (Super Rod in Marshland with 4 Waterside points, and with 5 Waterside points)","Safari Zone (Super Rod in Marshland with 4 Waterside points, and with 5 Waterside points)",Pond,
Whiscash,#0340,False,"Routes 205, 208, 210, 212, 227, and 228, Celestic Town, Eterna City, Great Marsh, Mt. Coronet, Oreburgh Gate, Ravaged Path (Super Rod)","Routes 205, 208, 210, 212, 227, and 228, Celestic Town, Eterna City, Great Marsh, Mt. Coronet, Oreburgh Gate, Ravaged Path (Super Rod)","Route 228 (Good Rod) Routes 205, 210, 225, 227, and 228, Eterna City, Great Marsh, Mt. Coronet, Oreburgh Gate, Ravaged Path (Super Rod)",Violet City (Swarm),Violet City (Swarm),Pond,
Corphish,#0341,False,Celestic Town (Super Rod),Celestic Town (Super Rod),Celestic Town (Super Rod),"Safari Zone (Good Rod in Wetland with 10 Waterside points, and with 14 Waterside points; Super Rod in Rocky Beach with 15 Waterside points, and with 20 Waterside points)","Safari Zone (Good Rod in Wetland with 10 Waterside points, and with 14 Waterside points; Super Rod in Rocky Beach with 15 Waterside points, and with 20 Waterside points)",Pond,
Crawdaunt,#0342,False,Celestic Town (Super Rod),Celestic Town (Super Rod),Celestic Town (Super Rod),Evolve Corphish,Evolve Corphish,Pond,
Baltoy,#0343,False,Route 206 (Poké Radar),Route 206 (Poké Radar),Route 206 (Poké Radar),Route 3 (Swarm),Trade,Mountain,
Claydol,#0344,False,Evolve Baltoy,Evolve Baltoy,Evolve Baltoy,Evolve Baltoy,Trade,Mountain,
Lileep,#0345,False,Revive from Root Fossil at the Oreburgh Mining Museum in Oreburgh City,Revive from Root Fossil at the Oreburgh Mining Museum in Oreburgh City,Revive from Root Fossil at the Oreburgh Mining Museum in Oreburgh City,Trade Receive Root Fossil held by a traded Pokémon and revive it,Revive from Root Fossil at the Pewter Museum of Science in Pewter City,Sea,
Cradily,#0346,False,Evolve Lileep,Evolve Lileep,Evolve Lileep,Trade,Evolve Lileep,Sea,
Anorith,#0347,False,Revive from Claw Fossil at the Oreburgh Mining Museum in Oreburgh City,Revive from Claw Fossil at the Oreburgh Mining Museum in Oreburgh City,Revive from Claw Fossil at the Oreburgh Mining Museum in Oreburgh City,Revive from Claw Fossil at the Pewter Museum of Science in Pewter City,Trade Receive Claw Fossil held by a traded Pokémon and revive it,Sea,
Armaldo,#0348,False,Evolve Anorith,Evolve Anorith,Evolve Anorith,Evolve Anorith,Trade,Sea,
Feebas,#0349,False,Mt. Coronet (four fishing spots),Mt. Coronet (four fishing spots),Mt. Coronet (four fishing spots),Transfer from Pokéwalker,Transfer from Pokéwalker,Sea,Quiet Cave
Milotic,#0350,False,Evolve Feebas,Evolve Feebas,Evolve Feebas,Evolve Pokéwalker Feebas,Evolve Pokéwalker Feebas,Sea,
Castform,#0351,False,Trophy Garden,Trophy Garden,Trophy Garden,Transfer from Pokéwalker,Transfer from Pokéwalker,Field,Treehouse
Kecleon,#0352,False,Route 210 (Poké Radar),Trade,Great Marsh (after obtaining National Pokédex),Transfer from Pokéwalker,Transfer from Pokéwalker,Forest,Treehouse
Shuppet,#0353,False,Breed Banette,Breed Banette,Breed Banette,Safari Zone (Forest with 35 Forest points),Safari Zone (Forest with 35 Forest points),Forest,
Banette,#0354,False,"Routes 225, 226, and 227, Stark Mountain Night","Routes 225, 226, and 227, Stark Mountain Night","Routes 225, 226 Night",Safari Zone (tall grass in Marshland with 49 Peak points),Safari Zone (tall grass in Marshland with 49 Peak points),Forest,
Duskull,#0355,False,Route 224 (Poké Radar),Route 224 (Poké Radar),"Route 209, Lost Tower, Turnback Cave",Safari Zone (tall grass in Swamp with 28 Peak points; Surfing in Swamp with 35 Waterside points),Safari Zone (tall grass in Swamp with 28 Peak points; Surfing in Swamp with 35 Waterside points),Forest,Winner's Path
Dusclops,#0356,False,Route 224 (Poké Radar),Route 224 (Poké Radar),"Sendoff Spring, Turnback Cave",Safari Zone (Mountain with 35 Forest points),Safari Zone (Mountain with 35 Forest points),Forest,
Tropius,#0357,False,Trade,Trade,Great Marsh,Transfer from Pokéwalker,Transfer from Pokéwalker,Forest,Big Forest
Chimecho,#0358,False,"Sendoff Spring, Mt. Coronet","Sendoff Spring, Mt. Coronet","Turnback Cave, Mt. Coronet",Safari Zone (tall grass in Swamp with 15 Forest points),Safari Zone (tall grass in Swamp with 15 Forest points),Mountain,
Absol,#0359,False,Route 213 (Swarm),Route 213 (Swarm),Mt. Coronet (summit),"Slowpoke Well, Union Cave, Mt. Mortar, Dark Cave, Whirl Islands, Mt. Silver Cave, Ice Path, Cliff Cave, Diglett's Cave, Mt. Moon, Cerulean Cave, Rock Tunnel, Seafoam Islands, Victory Road, Tohjo Falls (Hoenn Sound)","Slowpoke Well, Union Cave, Mt. Mortar, Dark Cave, Whirl Islands, Mt. Silver Cave, Ice Path, Cliff Cave, Diglett's Cave, Mt. Moon, Cerulean Cave, Rock Tunnel, Seafoam Islands, Victory Road, Tohjo Falls (Hoenn Sound)",Mountain,
Wynaut,#0360,False,Breed Wobbuffet holding a Lax Incense,Breed Wobbuffet holding a Lax Incense,Breed Wobbuffet holding a Lax Incense,Breed Wobbuffet holding a Lax Incense,Breed Wobbuffet holding a Lax Incense,Field,
Snorunt,#0361,False,"Routes 216 and 217, Acuity Lakefront (Poké Radar)","Routes 216 and 217, Acuity Lakefront (Poké Radar)","Routes 216 and 217, Acuity Lakefront, Lake Acuity Night",Transfer from Pokéwalker,Transfer from Pokéwalker,Mountain,Icy Mountain Rd.
Glalie,#0362,False,Evolve Snorunt,Evolve Snorunt,Evolve Snorunt,Evolve Pokéwalker Snorunt,Evolve Pokéwalker Snorunt,Mountain,
Spheal,#0363,False,Trade,Routes 226 and 230,Breed Sealeo or Walrein,Safari Zone (Peak with 35 Waterside points),Safari Zone (Peak with 35 Waterside points),Sea,
Sealeo,#0364,False,Trade,Routes 226 and 230,Route 230,Safari Zone (Mountain with 49 Waterside points and 21 Peak points),Safari Zone (Mountain with 49 Waterside points and 21 Peak points),Sea,
Walrein,#0365,False,Trade,Evolve Sealeo,Evolve Sealeo,Evolve Sealeo,Evolve Sealeo,Sea,
Clamperl,#0366,False,Routes 219 and 221 (Super Rod),Routes 219 and 221 (Super Rod),Trade,Route 19 (Surfing during a Swarm),Route 19 (Surfing during a Swarm),Sea,
Huntail,#0367,False,Evolve Clamperl,Evolve Clamperl,Trade,Evolve Clamperl,Evolve Clamperl,Sea,
Gorebyss,#0368,False,Evolve Clamperl,Evolve Clamperl,Trade,Evolve Clamperl,Evolve Clamperl,Sea,
Relicanth,#0369,False,Route 226 (Super Rod),Route 226 (Super Rod),Route 226 (Super Rod),Route 12 (Super Rod during a swarm),Route 12 (Super Rod during a swarm),Sea,
Luvdisc,#0370,False,"Route 224, Pokémon League (Super Rod)","Route 224, Pokémon League (Super Rod)","Route 224, Pokémon League (Super Rod)",Route 27 (Surfing during a Swarm),Route 27 (Surfing during a Swarm),Sea,
Bagon,#0371,False,Trade,Route 210 (Poké Radar),Route 210 (Poké Radar),Safari Zone (tall grass in Swamp with 56 Peak points and 35 Forest points),Safari Zone (tall grass in Swamp with 56 Peak points and 35 Forest points),Mountain,
Shelgon,#0372,False,Trade,Evolve Bagon,Evolve Bagon,Safari Zone (tall grass in Wetland with 63 Peak points),Safari Zone (tall grass in Wetland with 63 Peak points),Mountain,
Salamence,#0373,False,"Trade, Event",Evolve Shelgon,Evolve Shelgon,Evolve Shelgon,Evolve Shelgon,Mountain,
Beldum,#0374,False,Route 228 (Swarm),Route 228 (Swarm),Route 228 (Swarm),Trade Forretress to Steven at Silph Co. Safari Zone (Forest with 63 Peak points),Trade Forretress to Steven at Silph Co. Safari Zone (Forest with 63 Peak points),Mountain,Winner's Path
Metang,#0375,False,Evolve Beldum,Evolve Beldum,Evolve Beldum,Safari Zone (Mountain with 56 Peak points),Safari Zone (Mountain with 56 Peak points),Mountain,
Metagross,#0376,False,Evolve Metang,Evolve Metang,Evolve Metang,Evolve Metang,Evolve Metang,Mountain,
Regirock,#0377,False,Trade,Trade,"Route 228 (requires fateful encounter Regigigas) (Rock Peak Ruins, Only one)",Trade,Trade,Mountain,
Regice,#0378,False,Trade,Trade,"Mt. Coronet (requires fateful encounter Regigigas) (Iceberg Ruins, Only one)",Trade,Trade,Mountain,
Registeel,#0379,False,Trade,Trade,"Iron Island (requires fateful encounter Regigigas) (Iron Ruins, Only one)",Trade,Trade,Mountain,
Latias,#0380,False,Trade,Trade,Trade,Roaming Kanto (Only one),Pewter City (requires Enigma Stone) (Only one),Field,
Latios,#0381,False,Trade,Trade,Trade,Pewter City (requires Enigma Stone) (Only one),Roaming Kanto (Only one),Field,
Kyogre,#0382,False,Trade,Trade,Trade,Embedded Tower (requires Blue Orb) (Only one),Trade,Sea,
Groudon,#0383,False,Trade,Trade,Trade,Trade,Embedded Tower (requires Red Orb) (Only one),Mountain,
