Pokemon,No.,Caught?,Sword,Shield,Expansion Pass,Brilliant Diamond,Shining Pearl,Legends: Arceus,Sword Expansion Pass,Shield Expansion Pass
Klefki,#0707,False,Trade Version 1.2.0+,Trade Version 1.2.0+,Fields of Honor Fields of Honor (Max Raid Battle) Max Lair (Dynamax Adventure),Unobtainable,Unobtainable,Unobtainable,,
Phantump,#0708,False,"Glimwood Tangle Dappled Grove, Watchtower Ruins, Stony Wilderness, Giant's Mirror (Max Raid Battle)","Glimwood Tangle Dappled Grove, Watchtower Ruins, Stony Wilderness, Giant's Mirror (Max Raid Battle)","Slippery Slope, Old Cemetery, Snowslide Slope, Giant's Foot, Three- Point Pass Slippery Slope, Old Cemetery, Giant's Foot, Frigid Sea, Ballimere Lake (Max Raid Battle)",Unobtainable,Unobtainable,Unobtainable,,
Trevenant,#0709,False,"Dappled Grove, Giant's Mirror, Stony Wilderness, Watchtower Ruins (Max Raid Battle)","Dappled Grove, Giant's Mirror, Stony Wilderness, Watchtower Ruins (Max Raid Battle)","Slippery Slope, Old Cemetery, Snowslide Slope (Wanderer) Slippery Slope, Old Cemetery, Giant's Foot, Frigid Sea, Ballimere Lake (Max Raid Battle) Max Lair (Dynamax Adventure)",Unobtainable,Unobtainable,Unobtainable,,
Pumpkaboo,#0710,False,"Route 4, Giant's Mirror, Hammerlocke Hills (All Sizes) Dappled Grove, Giant's Mirror (Max Raid Battle) (All Sizes) South Lake Miloch Sw, Watchtower Ruins, Stony Wilderness (Max Raid Battle) (Average Size)","Route 4, Giant's Mirror, Hammerlocke Hills (All Sizes) Dappled Grove, Giant's Mirror (Max Raid Battle) (All Sizes) South Lake Miloch Sw, Watchtower Ruins, Stony Wilderness (Max Raid Battle) (Average Size)",,Unobtainable,Unobtainable,Unobtainable,,
Gourgeist,#0711,False,"Hammerlocke Hills (Wanderer) (Average Size) Dappled Grove, South Lake Miloch Sw, Watchtower Ruins, Stony Wilderness, Giant's Mirror (Max Raid Battle) (Average Size) Evolve Pumpkaboo (All Sizes)","Hammerlocke Hills (Wanderer) (Average Size) Dappled Grove, South Lake Miloch Sw, Watchtower Ruins, Stony Wilderness, Giant's Mirror (Max Raid Battle) (Average Size) Evolve Pumpkaboo (All Sizes)",Max Lair (Dynamax Adventure),Unobtainable,Unobtainable,Unobtainable,,
Bergmite,#0712,False,"Route 9, Lake of Outrage Stony Wilderness, Dusty Bowl, Hammerlocke Hills, Giant's Cap (Max Raid Battle)","Route 9, Lake of Outrage Giant's Seat, Stony Wilderness, Dusty Bowl, Hammerlocke Hills, Giant's Cap (Max Raid Battle)",,Unobtainable,Unobtainable,"Alabaster Icelands: near Avalanche Slopes, near Whiteout Valley, Bonechill Wastes, Arena's Approach, Avalugg's Legacy, near Glacier Terrace, Crevasse Passage, Icepeak Cavern, Ice Column Chamber, massive mass outbreaks

Alabaster Icelands: near Avalanche Slopes, Whiteout Valley, near Bonechill Wastes, Arena's Approach, Avalugg's Legacy, near Snowfall Hot Spring, Crevasse Passage, Secret Hollow, Icepeak Cavern, Ice Column Chamber Shaking ore deposits","Frigid Sea, Three- Point Pass Giant's Bed, Frigid Sea (Max Raid Battle)","Frigid Sea, Three- Point Pass"
Avalugg,#0713,False,"Lake of Outrage (Wanderer) Stony Wilderness, Dusty Bowl, Hammerlocke Hills, Giant's Cap (Max Raid Battle)","Lake of Outrage (Wanderer) Giant's Seat, Stony Wilderness, Dusty Bowl, Hammerlocke Hills, Giant's Cap (Max Raid Battle)","Frigid Sea, Three- Point Pass Insular Sea, Giant's Bed, Frigid Sea (Max Raid Battle)",Unobtainable,Unobtainable,"Alabaster Icelands: Avalugg's Legacy, massive mass outbreaks (Hisuian Form) Unobtainable (Kalosian Form)",,
Noibat,#0714,False,"Galar Mine No. 2, Bridge Field, Watchtower Ruins Rolling Fields, Axew's Eye, Giant's Cap, Hammerlocke Hills (Max Raid Battle)","Galar Mine No. 2, Bridge Field, Watchtower Ruins Rolling Fields, Axew's Eye, Giant's Cap, Hammerlocke Hills (Max Raid Battle)","Frostpoint Field, Giant's Bed, Frigid Sea, Ballimere Lake, Dyna Tree Hill (Max Raid Battle)",Unobtainable,Unobtainable,Unobtainable,,
Noivern,#0715,False,Lake of Outrage Bridge Field (Wanderer) Axew's Eye (Max Raid Battle),Lake of Outrage Bridge Field (Wanderer) Axew's Eye (Max Raid Battle),"Ballimere Lake, Lakeside Cave Workout Sea, Honeycalm Sea, Frostpoint Field, Giant's Bed, Frigid Sea, Ballimere Lake, Dyna Tree Hill (Max Raid Battle)",Unobtainable,Unobtainable,Unobtainable,,
Xerneas,#0716,False,Trade Version 1.3.0+,Trade Version 1.3.0+,,Unobtainable,Unobtainable,Unobtainable,Max Lair (Dynamax Adventure) (Only one),
Yveltal,#0717,False,Trade Version 1.3.0+,Trade Version 1.3.0+,,Unobtainable,Unobtainable,Unobtainable,,Max Lair (Dynamax Adventure) (Only one)
Zygarde,#0718,False,Trade Version 1.3.0+,Trade Version 1.3.0+,"Max Lair (Dynamax Adventure) (Only one) (50% Forme, Power Construct)",Unobtainable,Unobtainable,Unobtainable,,
Diancie,#0719,False,Pokémon HOME Version 1.3.0+,Pokémon HOME Version 1.3.0+,,Unobtainable,Unobtainable,Unobtainable,,
Hoopa,#0720,False,Unobtainable,Unobtainable,,Unobtainable,Unobtainable,Unobtainable,,
Volcanion,#0721,False,Pokémon HOME Version 1.3.0+ Event,Pokémon HOME Version 1.3.0+ Event,,Unobtainable,Unobtainable,Unobtainable,,
Rowlet,#0722,False,Pokémon HOME Trade Version 1.2.0+,Pokémon HOME Trade Version 1.2.0+,Reward for finding at least 100 Alolan Diglett (if the player chose Grookey),Unobtainable,Unobtainable,"Jubilife Village: First partner Pokémon from Professor Laventon, Received from Professor Laventon (after completing Mission 18, if the player did not choose Rowlet) Coronet Highlands: Space-time distortions (after completing Mission 18), massive mass outbreaks (after completing Request 102)",,
Dartrix,#0723,False,Pokémon HOME Trade Version 1.2.0+,Pokémon HOME Trade Version 1.2.0+,Evolve Rowlet,Unobtainable,Unobtainable,"Coronet Highlands: Space-time distortions (after completing Mission 18), massive mass outbreaks (after completing Request 102)",,
Decidueye,#0724,False,Pokémon HOME Trade Version 1.2.0+,Pokémon HOME Trade Version 1.2.0+,Evolve Dartrix,Unobtainable,Unobtainable,"Coronet Highlands: Space-time distortions (after completing Mission 18), massive mass outbreaks (after completing Request 102) (Hisuian Form) Unobtainable (Alolan Form)",,
Litten,#0725,False,Pokémon HOME Trade Version 1.2.0+,Pokémon HOME Trade Version 1.2.0+,Reward for finding at least 100 Alolan Diglett (if the player chose Scorbunny),Unobtainable,Unobtainable,Unobtainable,,
Torracat,#0726,False,Pokémon HOME Trade Version 1.2.0+,Pokémon HOME Trade Version 1.2.0+,Evolve Litten,Unobtainable,Unobtainable,Unobtainable,,
Incineroar,#0727,False,Pokémon HOME Trade Version 1.2.0+,Pokémon HOME Trade Version 1.2.0+,Evolve Torracat,Unobtainable,Unobtainable,Unobtainable,,
Popplio,#0728,False,Pokémon HOME Trade Version 1.2.0+,Pokémon HOME Trade Version 1.2.0+,Reward for finding at least 100 Alolan Diglett (if the player chose Sobble),Unobtainable,Unobtainable,Unobtainable,,
Brionne,#0729,False,Pokémon HOME Trade Version 1.2.0+,Pokémon HOME Trade Version 1.2.0+,Evolve Popplio,Unobtainable,Unobtainable,Unobtainable,,
Primarina,#0730,False,Pokémon HOME Trade Version 1.2.0+,Pokémon HOME Trade Version 1.2.0+,Evolve Brionne,Unobtainable,Unobtainable,Unobtainable,,
Pikipek,#0731,False,Unobtainable,Unobtainable,,Unobtainable,Unobtainable,Unobtainable,,
Trumbeak,#0732,False,Unobtainable,Unobtainable,,Unobtainable,Unobtainable,Unobtainable,,
Toucannon,#0733,False,Unobtainable,Unobtainable,,Unobtainable,Unobtainable,Unobtainable,,
Yungoos,#0734,False,Unobtainable,Unobtainable,,Unobtainable,Unobtainable,Unobtainable,,
Gumshoos,#0735,False,Unobtainable,Unobtainable,,Unobtainable,Unobtainable,Unobtainable,,
Grubbin,#0736,False,"Route 1, Dappled Grove, East Lake Axewell, North Lake Miloch, Slumbering Weald, Watchtower Ruins Bridge Field, Dappled Grove, Rolling Fields (Max Raid Battle)","Route 1, Dappled Grove, East Lake Axewell, North Lake Miloch, Slumbering Weald, Watchtower Ruins Bridge Field, Dappled Grove, Rolling Fields (Max Raid Battle)",,Unobtainable,Unobtainable,Unobtainable,,
Charjabug,#0737,False,"Axew's Eye, Dusty Bowl, Hammerlocke Hills Bridge Field, Dappled Grove, Giant's Cap, Motostoke Riverbank, Rolling Fields (Max Raid Battle)","Axew's Eye, Dusty Bowl, Hammerlocke Hills Bridge Field, Dappled Grove, Giant's Cap, Motostoke Riverbank, Rolling Fields (Max Raid Battle)",Max Lair (Dynamax Adventure),Unobtainable,Unobtainable,Unobtainable,,
Vikavolt,#0738,False,"Giant's Seat (Wanderer) Bridge Field, Dappled Grove, Giant's Cap, Giant's Mirror, Motostoke Riverbank, Rolling Fields (Max Raid Battle)","Giant's Seat (Wanderer) Bridge Field, Dappled Grove, Giant's Cap, Giant's Mirror, Motostoke Riverbank, Rolling Fields (Max Raid Battle)",Max Lair (Dynamax Adventure),Unobtainable,Unobtainable,Unobtainable,,
Crabrawler,#0739,False,Unobtainable,Unobtainable,,Unobtainable,Unobtainable,Unobtainable,,
Crabominable,#0740,False,Unobtainable,Unobtainable,,Unobtainable,Unobtainable,Unobtainable,,
Oricorio,#0741,False,Unobtainable,Unobtainable,,Unobtainable,Unobtainable,Unobtainable,,
Cutiefly,#0742,False,"Route 4 Rolling Fields, South Lake Miloch, Bridge Field, Hammerlocke Hills (Max Raid Battle)","Route 4 Rolling Fields, South Lake Miloch, Bridge Field, Hammerlocke Hills (Max Raid Battle)",,Unobtainable,Unobtainable,Unobtainable,,
Ribombee,#0743,False,"Bridge Field, Stony Wilderness Rolling Fields, Bridge Field, South Lake Miloch, Hammerlocke Hills (Max Raid Battle)","Bridge Field, Stony Wilderness Rolling Fields, Bridge Field, South Lake Miloch, Hammerlocke Hills (Max Raid Battle)",Max Lair (Dynamax Adventure),Unobtainable,Unobtainable,Unobtainable,,
Rockruff,#0744,False,Trade Version 1.2.0+,Trade Version 1.2.0+,"Challenge Road (Standard Form) Fields of Honor, Soothing Wetlands, Challenge Road, Loop Lagoon (Wanderer) (Standard Form) Fields of Honor, Training Lowlands, Potbottom Desert, Challenge Road (Max Raid Battle) (Standard Form) Challenge Road (Max Raid Battle) (Own Tempo Form)",Unobtainable,Unobtainable,Unobtainable,,
Lycanroc,#0745,False,Trade Version 1.2.0+,Trade Version 1.2.0+,"Challenge Road (Wanderer) (Midday/ Midnight Forms) Fields of Honor, Challenge Road, Training Lowlands, Potbottom Desert (Max Raid Battle) (Midday/ Midnight Forms) Max Lair (Dynamax Adventure) (Midday/ Midnight Forms) Challenge Road (Max Raid Battle) (Dusk Form)",Unobtainable,Unobtainable,Unobtainable,,
Wishiwashi,#0746,False,"Route 9, Hulbury, West Lake Axewell, East Lake Axewell, Axew's Eye East Lake Axewell, West Lake Axewell, South Lake Miloch, North Lake Miloch, Bridge Field, Giant's Cap, Dusty Bowl, Lake of Outrage (Max Raid Battle)","Route 9, Hulbury, West Lake Axewell, East Lake Axewell, Axew's Eye East Lake Axewell, West Lake Axewell, South Lake Miloch, North Lake Miloch, Bridge Field, Giant's Cap, Dusty Bowl, Lake of Outrage (Max Raid Battle)","Challenge Beach, Stepping- Stone Sea, Insular Sea, Honeycalm Island, Honeycalm Sea Fields of Honor, Loop Lagoon (Max Raid Battle)",Unobtainable,Unobtainable,Unobtainable,,
Mareanie,#0747,False,"Route 9, Motostoke Riverbank, Giant's Mirror Motostoke Riverbank Sw, East Lake Axewell, West Lake Axewell, South Lake Miloch, North Lake Miloch, Bridge Field, Giant's Mirror, Giant's Cap Sw, Lake of Outrage (Max Raid Battle)","Route 9, Motostoke Riverbank, Giant's Mirror Motostoke Riverbank Sw, East Lake Axewell, West Lake Axewell, South Lake Miloch, North Lake Miloch, Bridge Field, Giant's Mirror, Giant's Cap Sw, Lake of Outrage (Max Raid Battle)",Loop Lagoon Loop Lagoon (Max Raid Battle),Unobtainable,Unobtainable,Unobtainable,,
Toxapex,#0748,False,"Route 9 Motostoke Riverbank Sw, East Lake Axewell, West Lake Axewell, South Lake Miloch, North Lake Miloch, Bridge Field, Giant's Mirror, Giant's Cap Sw, Lake of Outrage (Max Raid Battle)","Route 9 Motostoke Riverbank Sw, East Lake Axewell, West Lake Axewell, South Lake Miloch, North Lake Miloch, Bridge Field, Giant's Mirror, Giant's Cap Sw, Lake of Outrage (Max Raid Battle)","Fields of Honor, Loop Lagoon (Wanderer) Loop Lagoon (Max Raid Battle)",Unobtainable,Unobtainable,Unobtainable,,
Mudbray,#0749,False,"Route 3, Rolling Fields, Dappled Grove, West Lake Axewell, East Lake Axewell, North Lake Miloch, South Lake Miloch, Giant's Seat, Giant's Cap Bridge Field (Max Raid Battle)","Route 3, Rolling Fields, Dappled Grove, West Lake Axewell, East Lake Axewell, North Lake Miloch, South Lake Miloch, Giant's Seat, Giant's Cap Bridge Field (Max Raid Battle)",,Unobtainable,Unobtainable,Unobtainable,,
Mudsdale,#0750,False,"Axew's Eye, Giant's Seat, Dusty Bowl Rolling Fields, Bridge Field (Max Raid Battle)","Axew's Eye, Giant's Seat, Dusty Bowl Rolling Fields, Bridge Field (Max Raid Battle)",Max Lair (Dynamax Adventure),Unobtainable,Unobtainable,Unobtainable,,
Dewpider,#0751,False,"Route 5, Motostoke Riverbank, Stony Wilderness Rolling Fields, Dappled Grove, West Lake Axewell, South Lake Miloch, Bridge Field, Lake of Outrage, Dusty Bowl (Max Raid Battle)","Route 5, Motostoke Riverbank, Stony Wilderness Rolling Fields, Dappled Grove, West Lake Axewell, South Lake Miloch, Bridge Field, Lake of Outrage, Dusty Bowl (Max Raid Battle)","Giant's Bed, Old Cemetery, Giant's Foot, Frigid Sea, Three- Point Pass, Ballimere Lake",Unobtainable,Unobtainable,Unobtainable,,
Araquanid,#0752,False,"Lake of Outrage Stony Wilderness (Wanderer) Rolling Fields, Dappled Grove, West Lake Axewell, South Lake Miloch, Bridge Field, Dusty Bowl, Lake of Outrage (Max Raid Battle)","Lake of Outrage Stony Wilderness (Wanderer) Rolling Fields, Dappled Grove, West Lake Axewell, South Lake Miloch, Bridge Field, Dusty Bowl, Lake of Outrage (Max Raid Battle)","Giant's Bed, Old Cemetery, Giant's Foot, Frigid Sea, Three- Point Pass, Ballimere Lake Max Lair (Dynamax Adventure) Slippery Slope, Crown Shrine, Giant's Foot, Ballimere Lake (Max Raid Battle)",Unobtainable,Unobtainable,Unobtainable,,
Fomantis,#0753,False,Trade Version 1.2.0+,Trade Version 1.2.0+,"Fields of Honor, Soothing Wetlands, Challenge Beach, Forest of Focus, Training Lowlands",Unobtainable,Unobtainable,Unobtainable,,
Lurantis,#0754,False,Trade Version 1.2.0+,Trade Version 1.2.0+,"Challenge Beach, Forest of Focus (Wanderer) Max Lair (Dynamax Adventure)",Unobtainable,Unobtainable,Unobtainable,,
Morelull,#0755,False,"Giant's Mirror, Hammerlocke Hills Rolling Fields, Dappled Grove, Bridge Field, Stony Wilderness, Giant's Mirror, Hammerlocke Hills (Max Raid Battle)","Giant's Mirror, Hammerlocke Hills Rolling Fields, Dappled Grove, Bridge Field, Stony Wilderness, Giant's Mirror, Hammerlocke Hills (Max Raid Battle)",Fields of Honor (Max Raid Battle),Unobtainable,Unobtainable,Unobtainable,,
Shiinotic,#0756,False,"Glimwood Tangle Rolling Fields, Dappled Grove, Bridge Field, Stony Wilderness, Giant's Mirror, Hammerlocke Hills (Max Raid Battle)","Glimwood Tangle Rolling Fields, Dappled Grove, Bridge Field, Stony Wilderness, Giant's Mirror, Hammerlocke Hills (Max Raid Battle)",Fields of Honor (Max Raid Battle) Max Lair (Dynamax Adventure),Unobtainable,Unobtainable,Unobtainable,,
Salandit,#0757,False,"Stony Wilderness Giant's Cap, Stony Wilderness, Dusty Bowl, Lake of Outrage, Hammerlocke Hills (Max Raid Battle)","Motostoke Outskirts, Motostoke Riverbank, Stony Wilderness Motostoke Riverbank, East Lake Axewell, North Lake Miloch, Giant's Cap, Stony Wilderness, Dusty Bowl, Lake of Outrage, Hammerlocke Hills (Max Raid Battle)","Challenge Road Fields of Honor, Loop Lagoon (Max Raid Battle)",Unobtainable,Unobtainable,Unobtainable,,
Salazzle,#0758,False,"Giant's Cap, Stony Wilderness, Dusty Bowl, Lake of Outrage, Hammerlocke Hills (Max Raid Battle)","Motostoke Riverbank, East Lake Axewell, North Lake Miloch, Giant's Cap, Stony Wilderness, Dusty Bowl, Lake of Outrage, Hammerlocke Hills (Max Raid Battle)","Challenge Road (Wanderer) Fields of Honor, Loop Lagoon (Max Raid Battle) Max Lair (Dynamax Adventure)",Unobtainable,Unobtainable,Unobtainable,,
Stufful,#0759,False,"Route 5, East Lake Axewell, Bridge Field, Dappled Grove, Giant's Seat, Hammerlocke Hills, North Lake Miloch Stony Wilderness Sw, Rolling Fields, East Lake Axewell, North Lake Miloch, Dusty Bowl (Max Raid Battle)","Route 5, East Lake Axewell, Bridge Field, Dappled Grove, Giant's Seat, Hammerlocke Hills, North Lake Miloch Stony Wilderness Sw, Rolling Fields, East Lake Axewell, North Lake Miloch, Dusty Bowl (Max Raid Battle)",Fields of Honor (Max Raid Battle),Unobtainable,Unobtainable,Unobtainable,,
Bewear,#0760,False,"Axew's Eye, Giant's Seat, Lake of Outrage Stony Wilderness Sw, Rolling Fields, East Lake Axewell, North Lake Miloch, Dusty Bowl (Max Raid Battle)","Axew's Eye, Giant's Seat, Lake of Outrage Stony Wilderness Sw, Rolling Fields, East Lake Axewell, North Lake Miloch, Dusty Bowl (Max Raid Battle)",Fields of Honor (Max Raid Battle) Max Lair (Dynamax Adventure),Unobtainable,Unobtainable,Unobtainable,,
Bounsweet,#0761,False,"Rolling Fields, Dappled Grove, West Lake Axewell, Watchtower Ruins, East Lake Axewell, Stony Wilderness Dappled Grove, Giant's Mirror (Max Raid Battle)","Rolling Fields, Dappled Grove, West Lake Axewell, Watchtower Ruins, East Lake Axewell, Stony Wilderness Dappled Grove, Giant's Mirror (Max Raid Battle)",,Unobtainable,Unobtainable,Unobtainable,,
Steenee,#0762,False,"Axew's Eye Dappled Grove, Giant's Mirror (Max Raid Battle)","Axew's Eye Dappled Grove, Giant's Mirror (Max Raid Battle)",Loop Lagoon (Max Raid Battle),Unobtainable,Unobtainable,Unobtainable,,
Tsareena,#0763,False,"Stony Wilderness Dappled Grove, Giant's Mirror (Max Raid Battle)","Stony Wilderness Dappled Grove, Giant's Mirror (Max Raid Battle)",Loop Lagoon (Max Raid Battle) Max Lair (Dynamax Adventure),Unobtainable,Unobtainable,Unobtainable,,
Comfey,#0764,False,Trade Version 1.2.0+,Trade Version 1.2.0+,"Fields of Honor, Soothing Wetlands, Training Lowlands, Insular Sea, Honeycalm Island (Wanderer) Fields of Honor (Max Raid Battle) Max Lair (Dynamax Adventure)",Unobtainable,Unobtainable,Unobtainable,,
Oranguru,#0765,False,Trade,"Glimwood Tangle Rolling Fields, East Lake Axewell, Motostoke Riverbank, Bridge Field, Stony Wilderness (Max Raid Battle)",,Unobtainable,Unobtainable,Unobtainable,Max Lair (Dynamax Adventure),Forest of Focus Max Lair (Dynamax Adventure)
Passimian,#0766,False,"Glimwood Tangle Rolling Fields, North Lake Miloch, Dusty Bowl (Max Raid Battle)",Trade,,Unobtainable,Unobtainable,Unobtainable,Forest of Focus Max Lair (Dynamax Adventure),Max Lair (Dynamax Adventure)
Wimpod,#0767,False,"Galar Mine No. 2, Giant's Mirror, Hammerlocke Hills, Motostoke Riverbank, Bridge Field Rolling Fields, Dappled Grove, South Lake Miloch, Bridge Field (Max Raid Battle)","Galar Mine No. 2, Giant's Mirror, Hammerlocke Hills, Motostoke Riverbank, Bridge Field Rolling Fields, Dappled Grove, South Lake Miloch, Bridge Field (Max Raid Battle)",Courageous Cavern,Unobtainable,Unobtainable,Unobtainable,,
Golisopod,#0768,False,"Lake of Outrage Rolling Fields, Dappled Grove, South Lake Miloch, Bridge Field (Max Raid Battle)","Lake of Outrage Rolling Fields, Dappled Grove, South Lake Miloch, Bridge Field (Max Raid Battle)","Challenge Beach, Courageous Cavern (Wanderer)",Unobtainable,Unobtainable,Unobtainable,,
Sandygast,#0769,False,Trade Version 1.2.0+,Trade Version 1.2.0+,Loop Lagoon,Unobtainable,Unobtainable,Unobtainable,,
Palossand,#0770,False,Trade Version 1.2.0+,Trade Version 1.2.0+,"Loop Lagoon (Wanderer) Challenge Beach, Courageous Cavern, Stepping- Stone Sea (Max Raid Battle) Max Lair (Dynamax Adventure)",Unobtainable,Unobtainable,Unobtainable,,
Pyukumuku,#0771,False,"Route 9, South Lake Miloch (Overworld) Giant's Seat (Fishing) Bridge Field, Dusty Bowl, East Lake Axewell, Giant's Cap, Giant's Mirror, Lake of Outrage, North Lake Miloch, South Lake Miloch, West Lake Axewell (Max Raid Battle)","Route 9, South Lake Miloch (Overworld) Giant's Seat (Fishing) Bridge Field, Dusty Bowl, East Lake Axewell, Giant's Cap, Giant's Mirror, Lake of Outrage, North Lake Miloch, South Lake Miloch, West Lake Axewell (Max Raid Battle)",Loop Lagoon (Max Raid Battle) Max Lair (Dynamax Adventure),Unobtainable,Unobtainable,Unobtainable,,
Type: Null,#0772,False,Received from a Macro Cosmos employee at the Battle Tower after becoming Champion,Received from a Macro Cosmos employee at the Battle Tower after becoming Champion,,Unobtainable,Unobtainable,Unobtainable,,
Silvally,#0773,False,Evolve Type: Null,Evolve Type: Null,,Unobtainable,Unobtainable,Unobtainable,,
Minior,#0774,False,Unobtainable,Unobtainable,,Unobtainable,Unobtainable,Unobtainable,,
Komala,#0775,False,Unobtainable,Unobtainable,,Unobtainable,Unobtainable,Unobtainable,,
Turtonator,#0776,False,"Lake of Outrage Rolling Fields, Axew's Eye, Stony Wilderness, Dusty Bowl, Hammerlocke Hills (Max Raid Battle)",Trade,,Unobtainable,Unobtainable,Unobtainable,"Giant's Bed, Path to the Peak, Frigid Sea, Three- Point Pass, Ballimere Lake (Max Raid Battle)",
Togedemaru,#0777,False,"Route 8, Lake of Outrage Giant's Seat, Motostoke Riverbank, Stony Wilderness, Lake of Outrage, Giant's Mirror, Hammerlocke Hills (Max Raid Battle)","Route 8, Lake of Outrage Giant's Seat, Motostoke Riverbank, Stony Wilderness, Lake of Outrage, Giant's Mirror, Hammerlocke Hills (Max Raid Battle)",Max Lair (Dynamax Adventure),Unobtainable,Unobtainable,Unobtainable,,
Mimikyu,#0778,False,"Giant's Mirror Bridge Field (Wanderer) Hammerlocke Hills, Rolling Fields (Max Raid Battle)","Giant's Mirror Bridge Field (Wanderer) Hammerlocke Hills, Rolling Fields (Max Raid Battle)","Slippery Slope, Frostpoint Field, Giant's Bed, Old Cemetery, Snowslide Slope, Giant's Foot, Frigid Sea, Three- Point Pass, Ballimere Lake Slippery Slope, Frostpoint Field, Giant's Bed, Old Cemetery, Snowslide Slope, Giant's Foot, Ballimere Lake (Wanderer) Slippery Slope, Frostpoint Field, Old Cemetery, Giant's Foot, Frigid Sea, Three- Point Pass, Ballimere Lake (Max Raid Battle) Max Lair (Dynamax Adventure)",Unobtainable,Unobtainable,Unobtainable,,
Bruxish,#0779,False,Unobtainable,Unobtainable,,Unobtainable,Unobtainable,Unobtainable,,
Drampa,#0780,False,Trade,"Lake of Outrage Rolling Fields, Axew's Eye (Max Raid Battle)",,Unobtainable,Unobtainable,Unobtainable,,"Giant's Bed, Path to the Peak, Frigid Sea, Three- Point Pass, Ballimere Lake (Max Raid Battle)"
Dhelmise,#0781,False,"Route 9 Dappled Grove, Bridge Field, Stony Wilderness, Giant's Mirror (Max Raid Battle)","Route 9 Dappled Grove, Bridge Field, Stony Wilderness, Giant's Mirror (Max Raid Battle)","Challenge Beach, Frigid Sea (Fishing)",Unobtainable,Unobtainable,Unobtainable,,
Jangmo-o,#0782,False,"Lake of Outrage Axew's Eye, Rolling Fields (Max Raid Battle)",Trade,,Unobtainable,Unobtainable,Unobtainable,"Challenge Road, Potbottom Desert Challenge Road (Wanderer) Loop Lagoon (Max Raid Battle)",
Hakamo-o,#0783,False,"Lake of Outrage Axew's Eye, Rolling Fields (Max Raid Battle)",Trade,,Unobtainable,Unobtainable,Unobtainable,Loop Lagoon (Max Raid Battle),
Kommo-o,#0784,False,"Dusty Bowl (Wanderer) Axew's Eye, Rolling Fields (Max Raid Battle)",Trade,,Unobtainable,Unobtainable,Unobtainable,Loop Lagoon (Max Raid Battle),
Tapu Koko,#0785,False,Trade Version 1.3.0+,Trade Version 1.3.0+,Max Lair (Dynamax Adventure) (Only one),Unobtainable,Unobtainable,Unobtainable,,
Tapu Lele,#0786,False,Trade Version 1.3.0+,Trade Version 1.3.0+,Max Lair (Dynamax Adventure) (Only one),Unobtainable,Unobtainable,Unobtainable,,
Tapu Bulu,#0787,False,Trade Version 1.3.0+,Trade Version 1.3.0+,Max Lair (Dynamax Adventure) (Only one),Unobtainable,Unobtainable,Unobtainable,,
Tapu Fini,#0788,False,Trade Version 1.3.0+,Trade Version 1.3.0+,Max Lair (Dynamax Adventure) (Only one),Unobtainable,Unobtainable,Unobtainable,,
Cosmog,#0789,False,Pokémon HOME Trade Version 1.3.0+,Pokémon HOME Trade Version 1.3.0+,Received from an elderly woman in Freezington after stopping Glastrier's/ Spectrier's attack,Unobtainable,Unobtainable,Unobtainable,,
Cosmoem,#0790,False,Pokémon HOME Trade Version 1.3.0+,Pokémon HOME Trade Version 1.3.0+,Evolve Cosmog,Unobtainable,Unobtainable,Unobtainable,,
Solgaleo,#0791,False,Pokémon HOME Trade Version 1.3.0+,Pokémon HOME Trade Version 1.3.0+,,Unobtainable,Unobtainable,Unobtainable,Max Lair (Dynamax Adventure) (Only one),
Lunala,#0792,False,Pokémon HOME Trade Version 1.3.0+,Pokémon HOME Trade Version 1.3.0+,,Unobtainable,Unobtainable,Unobtainable,,Max Lair (Dynamax Adventure) (Only one)
Nihilego,#0793,False,Trade Version 1.3.0+,Trade Version 1.3.0+,"Max Lair (Dynamax Adventure) (Only one, requires unlocking the They Came From The Ultra Beyond! adventure)",Unobtainable,Unobtainable,Unobtainable,,
Buzzwole,#0794,False,Trade Version 1.3.0+,Trade Version 1.3.0+,"Max Lair (Dynamax Adventure) (Only one, requires unlocking the They Came From The Ultra Beyond! adventure)",Unobtainable,Unobtainable,Unobtainable,,
Pheromosa,#0795,False,Trade Version 1.3.0+,Trade Version 1.3.0+,"Max Lair (Dynamax Adventure) (Only one, requires unlocking the They Came From The Ultra Beyond! adventure)",Unobtainable,Unobtainable,Unobtainable,,
Xurkitree,#0796,False,Trade Version 1.3.0+,Trade Version 1.3.0+,"Max Lair (Dynamax Adventure) (Only one, requires unlocking the They Came From The Ultra Beyond! adventure)",Unobtainable,Unobtainable,Unobtainable,,
Celesteela,#0797,False,Trade Version 1.3.0+,Trade Version 1.3.0+,"Max Lair (Dynamax Adventure) (Only one, requires unlocking the They Came From The Ultra Beyond! adventure)",Unobtainable,Unobtainable,Unobtainable,,
Kartana,#0798,False,Trade Version 1.3.0+,Trade Version 1.3.0+,"Max Lair (Dynamax Adventure) (Only one, requires unlocking the They Came From The Ultra Beyond! adventure)",Unobtainable,Unobtainable,Unobtainable,,
Guzzlord,#0799,False,Trade Version 1.3.0+,Trade Version 1.3.0+,"Max Lair (Dynamax Adventure) (Only one, requires unlocking the They Came From The Ultra Beyond! adventure)",Unobtainable,Unobtainable,Unobtainable,,
