Pokemon,No.,Caught?,Sun,Moon,Ultra Sun,Ultra Moon,Let's Go Pikachu,Let's Go Eevee
Lopunny,#0428,False,Trade,Trade,Poni Grove (SOS Battle),Poni Grove (SOS Battle),Unobtainable,Unobtainable
Mismagius,#0429,False,"Evolve Misdreavus, Poké Pelago*","Evolve Misdreavus, Poké Pelago*",Evolve Misdreavus,Evolve Misdreavus,Unobtainable,Unobtainable
Honchkrow,#0430,False,Evolve Murkrow,Evolve Murkrow,"Evolve Murkrow, Poké Pelago*","Evolve Murkrow, Poké Pelago*",Unobtainable,Unobtainable
Glameow,#0431,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Purugly,#0432,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Chingling,#0433,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Stunky,#0434,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Skuntank,#0435,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Bronzor,#0436,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Bronzong,#0437,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Bonsly,#0438,False,"Routes 1 and 5, Lush Jungle","Routes 1 and 5, Lush Jungle","Routes 1 and 5, Lush Jungle","Routes 1 and 5, Lush Jungle",Unobtainable,Unobtainable
Mime Jr.,#0439,False,Trade,Trade,Hau'oli City,Hau'oli City,Unobtainable,Unobtainable
Happiny,#0440,False,"Routes 1, 4, 5 and 6, Hau'oli City, Lush Jungle (SOS Battle) Trade Pancham in Malie City","Routes 1, 4, 5 and 6, Hau'oli City, Lush Jungle (SOS Battle) Trade Pancham in Malie City","Routes 1 and 5, Hau'oli City, Lush Jungle, Seaward Cave, Wela Volcano Park, Blush Mountain, Mount Hokulani (SOS Battle) Routes 4 and 6, Poni Grove Day (SOS Battle)","Routes 1 and 5, Hau'oli City, Lush Jungle, Seaward Cave, Wela Volcano Park, Blush Mountain, Mount Hokulani (SOS Battle) Routes 4 and 6, Poni Grove Day (SOS Battle)",Unobtainable,Unobtainable
Chatot,#0441,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Spiritomb,#0442,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Gible,#0443,False,Breed Gabite or Garchomp,Breed Gabite or Garchomp,Breed Gabite or Garchomp,Breed Gabite or Garchomp,Unobtainable,Unobtainable
Gabite,#0444,False,Haina Desert (SOS Battle),Haina Desert (SOS Battle),Haina Desert (SOS Battle),Haina Desert (SOS Battle),Unobtainable,Unobtainable
Garchomp,#0445,False,Evolve Gabite,Evolve Gabite,Evolve Gabite,Evolve Gabite,Unobtainable,Unobtainable
Munchlax,#0446,False,Route 1,Route 1,Route 1,Route 1,Unobtainable,Unobtainable
Riolu,#0447,False,Poni Grove,Poni Grove,Poni Grove Day,Poni Grove Day,Unobtainable,Unobtainable
Lucario,#0448,False,Poni Grove (SOS Battle),Poni Grove (SOS Battle),Poni Grove Day (SOS Battle),Poni Grove Day (SOS Battle),Unobtainable,Unobtainable
Hippopotas,#0449,False,Trade,Trade,Breed Hippowdon,Breed Hippowdon,Unobtainable,Unobtainable
Hippowdon,#0450,False,Trade,Trade,Ultra Space Wilds (Cave World),Ultra Space Wilds (Cave World),Unobtainable,Unobtainable
Skorupi,#0451,False,Trade,Trade,Breed Drapion,Breed Drapion,Unobtainable,Unobtainable
Drapion,#0452,False,Trade,Trade,Ultra Space Wilds (Rocky World),Ultra Space Wilds (Rocky World),Unobtainable,Unobtainable
Croagunk,#0453,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Toxicroak,#0454,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Carnivine,#0455,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Finneon,#0456,False,"Routes 1, 7, 8, 14, and 15, Hau'oli City, Melemele Sea, Kala'e Bay, Brooklet Hill, Hano Beach, Secluded Shore (Surfing)","Routes 1, 7, 8, 14, and 15, Hau'oli City, Melemele Sea, Kala'e Bay, Brooklet Hill, Hano Beach, Secluded Shore (Surfing)","Routes 1, 7, 8, 14, and 15, Hau'oli City, Melemele Sea, Kala'e Bay, Brooklet Hill, Hano Beach (Surfing)","Routes 1, 7, 8, 14, and 15, Hau'oli City, Melemele Sea, Kala'e Bay, Brooklet Hill, Hano Beach (Surfing)",Unobtainable,Unobtainable
Lumineon,#0457,False,Poni Wilds (Surfing),Poni Wilds (Surfing),Poni Breaker Coast (Surfing) Route 15 (SOS Battle),Poni Breaker Coast (Surfing) Route 15 (SOS Battle),Unobtainable,Unobtainable
Mantyke,#0458,False,Trade,Trade,"Routes 1, 8, Hau'oli City, Kala'e Bay, Melemele Sea (Surfing)","Routes 1, 8, Hau'oli City, Kala'e Bay, Melemele Sea (Surfing)",Unobtainable,Unobtainable
Snover,#0459,False,Trade,Trade,Breed Abomasnow,Breed Abomasnow,Unobtainable,Unobtainable
Abomasnow,#0460,False,Trade,Trade,Ultra Space Wilds (Cave World),Ultra Space Wilds (Cave World),Unobtainable,Unobtainable
Weavile,#0461,False,Evolve Sneasel,Evolve Sneasel,Evolve Sneasel,Evolve Sneasel,Unobtainable,Unobtainable
Magnezone,#0462,False,Evolve Magneton,Evolve Magneton,Evolve Magneton,Evolve Magneton,Unobtainable,Unobtainable
Lickilicky,#0463,False,Trade,Trade,Evolve Lickitung,Evolve Lickitung,Unobtainable,Unobtainable
Rhyperior,#0464,False,Evolve Rhydon,Evolve Rhydon,Evolve Rhydon,Evolve Rhydon,Unobtainable,Unobtainable
Tangrowth,#0465,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Electivire,#0466,False,Evolve Electabuzz,Evolve Electabuzz,Evolve Electabuzz,Evolve Electabuzz,Unobtainable,Unobtainable
Magmortar,#0467,False,Evolve Magmar,Evolve Magmar,Evolve Magmar,Evolve Magmar,Unobtainable,Unobtainable
Togekiss,#0468,False,Poni Gauntlet (Island Scan) Tu,Poni Gauntlet (Island Scan) Tu,Trade,Trade,Unobtainable,Unobtainable
Yanmega,#0469,False,Trade,Trade,Ultra Space Wilds (Cliff World),Ultra Space Wilds (Cliff World),Unobtainable,Unobtainable
Leafeon,#0470,False,Evolve Eevee,Evolve Eevee,Evolve Eevee,Evolve Eevee,Unobtainable,Unobtainable
Glaceon,#0471,False,Evolve Eevee,Evolve Eevee,Evolve Eevee,Evolve Eevee,Unobtainable,Unobtainable
Gliscor,#0472,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Mamoswine,#0473,False,Evolve Piloswine,Evolve Piloswine,Evolve Piloswine,Evolve Piloswine,Unobtainable,Unobtainable
Porygon-Z,#0474,False,Evolve Porygon2,Evolve Porygon2,Evolve Porygon2,Evolve Porygon2,Unobtainable,Unobtainable
Gallade,#0475,False,Trade,Trade,Evolve Kirlia♂,Evolve Kirlia♂,Unobtainable,Unobtainable
Probopass,#0476,False,Evolve Nosepass,Evolve Nosepass,Evolve Nosepass,Evolve Nosepass,Unobtainable,Unobtainable
Dusknoir,#0477,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Froslass,#0478,False,Evolve Snorunt♀,Evolve Snorunt♀,Evolve Snorunt♀,Evolve Snorunt♀,Unobtainable,Unobtainable
Rotom,#0479,False,Trade,Trade,Poni Gauntlet (Island Scan) Tu,Poni Gauntlet (Island Scan) Tu,Unobtainable,Unobtainable
Uxie,#0480,False,Trade,Trade,Ultra Space Wilds (Water World) (Only one),Ultra Space Wilds (Water World) (Only one),Unobtainable,Unobtainable
Mesprit,#0481,False,Trade,Trade,Ultra Space Wilds (Water World) (Only one),Ultra Space Wilds (Water World) (Only one),Unobtainable,Unobtainable
Azelf,#0482,False,Trade,Trade,Ultra Space Wilds (Water World) (Only one),Ultra Space Wilds (Water World) (Only one),Unobtainable,Unobtainable
Dialga,#0483,False,Trade,Trade,Ultra Space Wilds (Rocky World) (Only one),Trade,Unobtainable,Unobtainable
Palkia,#0484,False,Trade,Trade,Trade,Ultra Space Wilds (Cave World) (Only one),Unobtainable,Unobtainable
Heatran,#0485,False,Trade,Trade,Ultra Space Wilds (Cave World) (Only one),Trade,Unobtainable,Unobtainable
Regigigas,#0486,False,Trade,Trade,Trade,Ultra Space Wilds (Cave World) (Only one),Unobtainable,Unobtainable
Giratina,#0487,False,Trade,Trade,Ultra Space Wilds (Cave World) (requires Dialga and Palkia in party) (Only one) (Altered Forme),Ultra Space Wilds (Cave World) (requires Dialga and Palkia in party) (Only one) (Altered Forme),Unobtainable,Unobtainable
Cresselia,#0488,False,Trade,Trade,Ultra Space Wilds (Cliff World) (Only one),Ultra Space Wilds (Cliff World) (Only one),Unobtainable,Unobtainable
Phione,#0489,False,Breed Manaphy,Breed Manaphy,Breed Manaphy,Breed Manaphy,Unobtainable,Unobtainable
Manaphy,#0490,False,Event,Event,Event,Event,Unobtainable,Unobtainable
Darkrai,#0491,False,Event,Event,Event,Event,Unobtainable,Unobtainable
Shaymin,#0492,False,Event,Event,Event,Event,Unobtainable,Unobtainable
Arceus,#0493,False,Trade Pokémon Bank,Trade Pokémon Bank,Event,Event,Unobtainable,Unobtainable
Victini,#0494,False,Event,Event,Trade Pokémon Bank,Trade Pokémon Bank,Unobtainable,Unobtainable
Snivy,#0495,False,Breed Serperior,Breed Serperior,Trade,Trade,Unobtainable,Unobtainable
Servine,#0496,False,Evolve Snivy,Evolve Snivy,Trade,Trade,Unobtainable,Unobtainable
Serperior,#0497,False,Exeggutor Island (Island Scan) Th,Exeggutor Island (Island Scan) Th,Trade,Trade,Unobtainable,Unobtainable
Tepig,#0498,False,Breed Emboar,Breed Emboar,Trade,Trade,Unobtainable,Unobtainable
Pignite,#0499,False,Evolve Tepig,Evolve Tepig,Trade,Trade,Unobtainable,Unobtainable
Emboar,#0500,False,Ancient Poni Path (Island Scan) Sa,Ancient Poni Path (Island Scan) Sa,Trade,Trade,Unobtainable,Unobtainable
Oshawott,#0501,False,Breed Samurott,Breed Samurott,Trade,Trade,Unobtainable,Unobtainable
Dewott,#0502,False,Evolve Oshawott,Evolve Oshawott,Trade,Trade,Unobtainable,Unobtainable
Samurott,#0503,False,Poni Wilds (Island Scan) Fr,Poni Wilds (Island Scan) Fr,Trade,Trade,Unobtainable,Unobtainable
Patrat,#0504,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Watchog,#0505,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Lillipup,#0506,False,"Routes 4, 5, 6, Brooklet Hill, Paniola Ranch","Routes 4, 5, 6, Brooklet Hill, Paniola Ranch","Routes 4, 5, 6, Paniola Ranch","Routes 4, 5, 6, Paniola Ranch",Unobtainable,Unobtainable
Herdier,#0507,False,Evolve Lillipup,Evolve Lillipup,Evolve Lillipup,Evolve Lillipup,Unobtainable,Unobtainable
Stoutland,#0508,False,Evolve Herdier,Evolve Herdier,Evolve Herdier,Evolve Herdier,Unobtainable,Unobtainable
Purrloin,#0509,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Liepard,#0510,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Pansage,#0511,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Simisage,#0512,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Pansear,#0513,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Simisear,#0514,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Panpour,#0515,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Simipour,#0516,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Munna,#0517,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Musharna,#0518,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Pidove,#0519,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Tranquill,#0520,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Unfezant,#0521,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Blitzle,#0522,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Zebstrika,#0523,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Roggenrola,#0524,False,Ten Carat Hill,Ten Carat Hill,Ten Carat Hill,Ten Carat Hill,Unobtainable,Unobtainable
Boldore,#0525,False,Vast Poni Canyon,Vast Poni Canyon,Vast Poni Canyon,Vast Poni Canyon,Unobtainable,Unobtainable
Gigalith,#0526,False,Evolve Boldore,Evolve Boldore,Evolve Boldore,Evolve Boldore,Unobtainable,Unobtainable
Woobat,#0527,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Swoobat,#0528,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Drilbur,#0529,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Excadrill,#0530,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Audino,#0531,False,Trade,Trade,Ultra Space Wilds (Rocky World),Ultra Space Wilds (Rocky World),Unobtainable,Unobtainable
Timburr,#0532,False,Breed Conkeldurr,Breed Conkeldurr,Trade,Trade,Unobtainable,Unobtainable
Gurdurr,#0533,False,Evolve Timburr,Evolve Timburr,Trade,Trade,Unobtainable,Unobtainable
Conkeldurr,#0534,False,Poni Plains (Island Scan) Mo,Poni Plains (Island Scan) Mo,Trade,Trade,Unobtainable,Unobtainable
Tympole,#0535,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Palpitoad,#0536,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Seismitoad,#0537,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Throh,#0538,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Sawk,#0539,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Sewaddle,#0540,False,Breed Leavanny,Breed Leavanny,Breed Leavanny,Breed Leavanny,Unobtainable,Unobtainable
Swadloon,#0541,False,Evolve Sewaddle,Evolve Sewaddle,Evolve Sewaddle,Evolve Sewaddle,Unobtainable,Unobtainable
Leavanny,#0542,False,Poni Meadow (Island Scan) We,Poni Meadow (Island Scan) We,Poni Meadow (Island Scan) We,Poni Meadow (Island Scan) We,Unobtainable,Unobtainable
Venipede,#0543,False,Route 4 (Island Scan) Th,Route 4 (Island Scan) Th,Trade,Trade,Unobtainable,Unobtainable
Whirlipede,#0544,False,Evolve Venipede,Evolve Venipede,Trade,Trade,Unobtainable,Unobtainable
Scolipede,#0545,False,Evolve Whirlipede,Evolve Whirlipede,Trade,Trade,Unobtainable,Unobtainable
Cottonee,#0546,False,"Malie Garden, Melemele Meadow, Poni Meadow, Poni Plains, Ula'ula Meadow",Trade,"Malie Garden, Melemele Meadow, Poni Meadow, Poni Plains, Ula'ula Meadow",Trade,Unobtainable,Unobtainable
Whimsicott,#0547,False,Evolve Cottonee,Trade,Evolve Cottonee,Trade,Unobtainable,Unobtainable
Petilil,#0548,False,Trade,"Malie Garden, Melemele Meadow, Poni Meadow, Poni Plains, Ula'ula Meadow",Trade,"Malie Garden, Melemele Meadow, Poni Meadow, Poni Plains, Ula'ula Meadow",Unobtainable,Unobtainable
Lilligant,#0549,False,Trade,Evolve Petilil,Trade,Evolve Petilil,Unobtainable,Unobtainable
Basculin,#0550,False,Trade,Trade,"Brooklet Hill, Malie Garden, Vast Poni Canyon (Fishing) (Red- Striped Form) Trade (Blue- Striped Form)","Brooklet Hill, Malie Garden, Vast Poni Canyon (Fishing) (Blue- Striped Form) Trade (Red- Striped Form)",Unobtainable,Unobtainable
Sandile,#0551,False,Haina Desert,Haina Desert,Breed Krokorok or Krookodile,Breed Krokorok or Krookodile,Unobtainable,Unobtainable
Krokorok,#0552,False,Evolve Sandile,Evolve Sandile,Haina Desert,Haina Desert,Unobtainable,Unobtainable
Krookodile,#0553,False,Evolve Krokorok,Evolve Krokorok,Evolve Krokorok,Evolve Krokorok,Unobtainable,Unobtainable
Darumaka,#0554,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Darmanitan,#0555,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Maractus,#0556,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Dwebble,#0557,False,Trade,Trade,Breed Crustle,Breed Crustle,Unobtainable,Unobtainable
Crustle,#0558,False,Trade,Trade,Ultra Space Wilds (Cave World),Ultra Space Wilds (Cave World),Unobtainable,Unobtainable
Scraggy,#0559,False,Trade,Trade,Routes 16 and 17,Routes 16 and 17,Unobtainable,Unobtainable
Scrafty,#0560,False,Trade,Trade,Evolve Scraggy,Evolve Scraggy,Unobtainable,Unobtainable
Sigilyph,#0561,False,Trade,Trade,Ultra Space Wilds (Cliff World),Ultra Space Wilds (Cliff World),Unobtainable,Unobtainable
Yamask,#0562,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Cofagrigus,#0563,False,Pokémon Bank,Pokémon Bank,"Pokémon Bank, Event","Pokémon Bank, Event",Unobtainable,Unobtainable
Tirtouga,#0564,False,Revive from Cover Fossil at the Fossil Restoration Center on Route 8,Trade Receive Cover Fossil held by a traded Pokémon and revive it,Revive from Cover Fossil at the Fossil Restoration Center on Route 8,Revive from Cover Fossil at the Fossil Restoration Center on Route 8,Unobtainable,Unobtainable
Carracosta,#0565,False,Evolve Tirtouga,Trade,Evolve Tirtouga,Evolve Tirtouga,Unobtainable,Unobtainable
Archen,#0566,False,Trade Receive Plume Fossil held by a traded Pokémon and revive it,Revive from Plume Fossil at the Fossil Restoration Center on Route 8,Revive from Plume Fossil at the Fossil Restoration Center on Route 8,Revive from Plume Fossil at the Fossil Restoration Center on Route 8,Unobtainable,Unobtainable
Archeops,#0567,False,Trade,Evolve Archen,Evolve Archen,Evolve Archen,Unobtainable,Unobtainable
Trubbish,#0568,False,Malie City,Malie City,Malie City,Malie City,Unobtainable,Unobtainable
Garbodor,#0569,False,Malie City (SOS Battle),Malie City (SOS Battle),Evolve Trubbish,Evolve Trubbish,Unobtainable,Unobtainable
Zorua,#0570,False,Trade,Trade,Trainers' School,Trainers' School,Unobtainable,Unobtainable
Zoroark,#0571,False,Trade,Trade,Poni Grove,Poni Grove,Unobtainable,Unobtainable
Minccino,#0572,False,Trade,Trade,Malie City,Malie City,Unobtainable,Unobtainable
Cinccino,#0573,False,Trade,Trade,Evolve Minccino,Evolve Minccino,Unobtainable,Unobtainable
Gothita,#0574,False,Route 6 (Island Scan) Su,Route 6 (Island Scan) Su,Trade,Trade,Unobtainable,Unobtainable
Gothorita,#0575,False,Evolve Gothita,Evolve Gothita,Trade,Trade,Unobtainable,Unobtainable
Gothitelle,#0576,False,Evolve Gothorita,Evolve Gothorita,Trade,Trade,Unobtainable,Unobtainable
Solosis,#0577,False,Breed Duosion or Reuniclus,Breed Duosion or Reuniclus,Trade,Trade,Unobtainable,Unobtainable
Duosion,#0578,False,Route 16 (Island Scan) Tu,Route 16 (Island Scan) Tu,Trade,Trade,Unobtainable,Unobtainable
Reuniclus,#0579,False,Evolve Duosion,Evolve Duosion,Trade,Trade,Unobtainable,Unobtainable
Ducklett,#0580,False,Trade,Trade,Breed Swanna,Breed Swanna,Unobtainable,Unobtainable
Swanna,#0581,False,Trade,Trade,Ultra Space Wilds (Cliff World),Ultra Space Wilds (Cliff World),Unobtainable,Unobtainable
Vanillite,#0582,False,Tapu Village (SOS Battle while hailing),Tapu Village (SOS Battle while hailing),"Tapu Village, Mount Lanakila (SOS Battle while hailing)","Tapu Village, Mount Lanakila (SOS Battle while hailing)",Unobtainable,Unobtainable
Vanillish,#0583,False,Mount Lanakila (SOS Battle while hailing),Mount Lanakila (SOS Battle while hailing),Mount Lanakila (SOS Battle while hailing),Mount Lanakila (SOS Battle while hailing),Unobtainable,Unobtainable
Vanilluxe,#0584,False,Evolve Vanillish,Evolve Vanillish,Mount Lanakila (SOS Battle while hailing),Mount Lanakila (SOS Battle while hailing),Unobtainable,Unobtainable
Deerling,#0585,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Sawsbuck,#0586,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Emolga,#0587,False,"Poni Plains, Poké Pelago*","Poni Plains, Poké Pelago*",Poni Plains,Poni Plains,Unobtainable,Unobtainable
Karrablast,#0588,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Escavalier,#0589,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Foongus,#0590,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Amoonguss,#0591,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Frillish,#0592,False,Trade,Trade,Route 14 (Surfing) Route 14 (One)*,Route 14 (Surfing) Route 14 (One)*,Unobtainable,Unobtainable
Jellicent,#0593,False,Trade,Trade,Evolve Frillish,Evolve Frillish,Unobtainable,Unobtainable
Alomomola,#0594,False,Brooklet Hill (Fishing),Brooklet Hill (Fishing),Brooklet Hill (Fishing),Brooklet Hill (Fishing),Unobtainable,Unobtainable
Joltik,#0595,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Galvantula,#0596,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Ferroseed,#0597,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Ferrothorn,#0598,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Klink,#0599,False,Hau'oli City (Island Scan) Th,Hau'oli City (Island Scan) Th,Trade,Trade,Unobtainable,Unobtainable
Klang,#0600,False,Evolve Klink,Evolve Klink,Trade,Trade,Unobtainable,Unobtainable
Klinklang,#0601,False,Evolve Klang,Evolve Klang,Trade,Trade,Unobtainable,Unobtainable
Tynamo,#0602,False,Breed Eelektross,Breed Eelektross,Breed Eelektross,Breed Eelektross,Unobtainable,Unobtainable
Eelektrik,#0603,False,Evolve Tynamo,Evolve Tynamo,Evolve Tynamo,Evolve Tynamo,Unobtainable,Unobtainable
Eelektross,#0604,False,Poni Grove (Island Scan) Su,Poni Grove (Island Scan) Su,Poni Grove (Island Scan) Su,Poni Grove (Island Scan) Su,Unobtainable,Unobtainable
Elgyem,#0605,False,Trade,Trade,Mount Hokulani,Mount Hokulani,Unobtainable,Unobtainable
Beheeyem,#0606,False,Trade,Trade,Evolve Elgyem,Evolve Elgyem,Unobtainable,Unobtainable
Litwick,#0607,False,Hau'oli Cemetery (Island Scan) Sa,Hau'oli Cemetery (Island Scan) Sa,Hau'oli Cemetery (Island Scan) Sa,Hau'oli Cemetery (Island Scan) Sa,Unobtainable,Unobtainable
Lampent,#0608,False,Evolve Litwick,Evolve Litwick,Evolve Litwick,Evolve Litwick,Unobtainable,Unobtainable
Chandelure,#0609,False,Evolve Lampent,Evolve Lampent,Evolve Lampent,Evolve Lampent,Unobtainable,Unobtainable
Axew,#0610,False,Mount Hokulani (Island Scan) Sa,Mount Hokulani (Island Scan) Sa,Mount Hokulani (Island Scan) Sa,Mount Hokulani (Island Scan) Sa,Unobtainable,Unobtainable
Fraxure,#0611,False,Evolve Axew,Evolve Axew,Evolve Axew,Evolve Axew,Unobtainable,Unobtainable
Haxorus,#0612,False,Evolve Fraxure,Evolve Fraxure,Evolve Fraxure,Evolve Fraxure,Unobtainable,Unobtainable
Cubchoo,#0613,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Beartic,#0614,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Cryogonal,#0615,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Shelmet,#0616,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Accelgor,#0617,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Stunfisk,#0618,False,Trade,Trade,Ultra Space Wilds (Water World),Ultra Space Wilds (Water World),Unobtainable,Unobtainable
Mienfoo,#0619,False,Trade,Trade,Vast Poni Canyon,Vast Poni Canyon,Unobtainable,Unobtainable
Mienshao,#0620,False,Trade,Trade,Evolve Mienfoo,Evolve Mienfoo,Unobtainable,Unobtainable
Druddigon,#0621,False,Trade,Trade,Resolution Cave,Resolution Cave,Unobtainable,Unobtainable
Golett,#0622,False,Trade,Trade,Haina Desert (SOS Battle),Trade,Unobtainable,Unobtainable
Golurk,#0623,False,Trade,Trade,Evolve Golett,Trade,Unobtainable,Unobtainable
Pawniard,#0624,False,Trade,Trade,Route 17 (SOS Battle),Route 17 (SOS Battle),Unobtainable,Unobtainable
Bisharp,#0625,False,Trade,Trade,Route 17,Route 17,Unobtainable,Unobtainable
Bouffalant,#0626,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Rufflet,#0627,False,"Route 3, Poké Pelago",Trade,Route 3,Trade,Unobtainable,Unobtainable
Braviary,#0628,False,Poni Plains,Trade,Poni Plains,Trade,Unobtainable,Unobtainable
Vullaby,#0629,False,Trade,"Route 3, Poké Pelago",Trade,Route 3,Unobtainable,Unobtainable
Mandibuzz,#0630,False,Trade,Poni Plains,Trade,Poni Plains,Unobtainable,Unobtainable
Heatmor,#0631,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Durant,#0632,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
