Pokemon,No.,Caught?,Scarlet,Violet,The Hidden Treasure of Area Zero,The Hidden Treasure of Area Zero (Scarlet),The Hidden Treasure of Area Zero (Violet)
Leafeon,#0470,False,"West Province: Area Three North Province: Socarrat Trail South Province: Area Four (Grass Tera Type) Tera Raid Battles (6★)


","West Province: Area Three North Province: Socarrat Trail South Province: Area Four (Grass Tera Type) Tera Raid Battles (6★)


",,,
Glaceon,#0471,False,"North Province: Glaseado Mountain North Province: Glaseado Mountain (Ice Tera Type) Tera Raid Battles (6★)


","North Province: Glaseado Mountain North Province: Glaseado Mountain (Ice Tera Type) Tera Raid Battles (6★)


",,,
Gliscor,#0472,False,Trade Version 2.0.1+,Trade Version 2.0.1+,,"Tera Raid Battles (5★, 6★)","Tera Raid Battle Search (5★, 6★)


"
Mamoswine,#0473,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Tera Raid Battles (5★, 6★)


",,
Porygon-Z,#0474,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Tera Raid Battles (5★, 6★)


",,
Gallade,#0475,False,"South Province: Area Six, Alfornada Cavern North Province: Area One, Dalizapa Passage, Glaseado Mountain Tera Raid Battles (5★, 6★)","South Province: Area Six, Alfornada Cavern North Province: Area One, Dalizapa Passage, Glaseado Mountain Tera Raid Battles (5★, 6★)","Fellhorn Gorge, Kitakami Wilds, Timeless Woods


",,
Probopass,#0476,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Tera Raid Battles (5★)


",,
Dusknoir,#0477,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Tera Raid Battles (5★, 6★)


",,
Froslass,#0478,False,"North Province: Dalizapa Passage, Glaseado Mountain Tera Raid Battles (5★)","North Province: Dalizapa Passage, Glaseado Mountain Tera Raid Battles (5★)","Evolve Snorunt♀


",,
Rotom,#0479,False,"East Province: Area Two West Province: Area Two Tera Raid Battles (4★, 5★)","East Province: Area Two West Province: Area Two Tera Raid Battles (4★, 5★)","Savanna Biome, Coastal Biome, Torchlit Labyrinth, Canyon Biome, Chargestone Cavern, Polar Biome


",,
Uxie,#0480,False,"Pokémon HOME


","Pokémon HOME


",,,
Mesprit,#0481,False,"Pokémon HOME


","Pokémon HOME


",,,
Azelf,#0482,False,"Pokémon HOME


","Pokémon HOME


",,,
Dialga,#0483,False,"Pokémon HOME, Poké Portal News


","Pokémon HOME, Poké Portal News


",,,
Palkia,#0484,False,"Pokémon HOME, Poké Portal News


","Pokémon HOME, Poké Portal News


",,,
Heatran,#0485,False,"Pokémon HOME


","Pokémon HOME


",,,
Regigigas,#0486,False,"Pokémon HOME Version 3.0.0+


","Pokémon HOME Version 3.0.0+


",,,
Giratina,#0487,False,"Pokémon HOME


","Pokémon HOME


",,,
Cresselia,#0488,False,"Pokémon HOME


","Pokémon HOME


",,,
Phione,#0489,False,"Breed Manaphy Pokémon HOME Version 2.0.1+


","Breed Manaphy Pokémon HOME Version 2.0.1+


",,,
Manaphy,#0490,False,"Pokémon HOME Version 2.0.1+


","Pokémon HOME Version 2.0.1+


",,,
Darkrai,#0491,False,"Event


","Event


",,,
Shaymin,#0492,False,"Pokémon HOME Version 2.0.1+


","Pokémon HOME Version 2.0.1+


",,,
Arceus,#0493,False,"Pokémon HOME


","Pokémon HOME


",,,
Victini,#0494,False,"Unobtainable


","Unobtainable


",,,
Snivy,#0495,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Savanna Biome (after boosting biodiversity in the Savanna Biome)


",,
Servine,#0496,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Evolve Snivy


",,
Serperior,#0497,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Evolve Servine


",,
Tepig,#0498,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Canyon Biome, Chargestone Cavern (after boosting biodiversity in the Canyon Biome)


",,
Pignite,#0499,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Evolve Tepig


",,
Emboar,#0500,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Evolve Pignite


",,
Oshawott,#0501,False,"Trade, Breed Samurott or Hisuian Samurott","Trade, Breed Samurott or Hisuian Samurott","Polar Biome (after boosting biodiversity in the Polar Biome)


",,
Dewott,#0502,False,Trade,Trade,"Evolve Oshawott


",,
Samurott,#0503,False,"Trade, Poké Portal News (Unovan Form) Pokémon HOME, Poké Portal News (Hisuian Form)","Trade, Poké Portal News (Unovan Form) Pokémon HOME, Poké Portal News (Hisuian Form)","Evolve Dewott (Unovan Form)  Evolve Dewott in Pokémon Legends: Arceus via Pokémon HOME (Hisuian Form)


",,
Patrat,#0504,False,"Unobtainable


","Unobtainable


",,,
Watchog,#0505,False,"Unobtainable


","Unobtainable


",,,
Lillipup,#0506,False,"Unobtainable


","Unobtainable


",,,
Herdier,#0507,False,"Unobtainable


","Unobtainable


",,,
Stoutland,#0508,False,"Unobtainable


","Unobtainable


",,,
Purrloin,#0509,False,"Unobtainable


","Unobtainable


",,,
Liepard,#0510,False,"Unobtainable


","Unobtainable


",,,
Pansage,#0511,False,"Unobtainable


","Unobtainable


",,,
Simisage,#0512,False,"Unobtainable


","Unobtainable


",,,
Pansear,#0513,False,"Unobtainable


","Unobtainable


",,,
Simisear,#0514,False,"Unobtainable


","Unobtainable


",,,
Panpour,#0515,False,"Unobtainable


","Unobtainable


",,,
Simipour,#0516,False,"Unobtainable


","Unobtainable


",,,
Munna,#0517,False,"Unobtainable


","Unobtainable


",,,
Musharna,#0518,False,"Unobtainable


","Unobtainable


",,,
Pidove,#0519,False,"Unobtainable


","Unobtainable


",,,
Tranquill,#0520,False,"Unobtainable


","Unobtainable


",,,
Unfezant,#0521,False,"Unobtainable


","Unobtainable


",,,
Blitzle,#0522,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Savanna Biome Tera Raid Battles (1★)


",,
Zebstrika,#0523,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Savanna Biome Tera Raid Battles (4★)


",,
Roggenrola,#0524,False,"Unobtainable


","Unobtainable


",,,
Boldore,#0525,False,"Unobtainable


","Unobtainable


",,,
Gigalith,#0526,False,"Unobtainable


","Unobtainable


",,,
Woobat,#0527,False,"Unobtainable


","Unobtainable


",,,
Swoobat,#0528,False,"Unobtainable


","Unobtainable


",,,
Drilbur,#0529,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Chargestone Cavern, Canyon Biome, Polar Biome Tera Raid Battles (3★)


",,
Excadrill,#0530,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Canyon Biome, Chargestone Cavern, Polar Biome Tera Raid Battles (5★, 6★)


",,
Audino,#0531,False,"Unobtainable


","Unobtainable


",,,
Timburr,#0532,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Apple Hills,  Reveler's Road, Mossfell Confluence, Fellhorn Gorge, Oni Mountain, Oni's Maw, Infernal Pass, Crystal Pool, Wistful Fields, Paradise Barrens, Kitakami Wilds Tera Raid Battles (2★)


",,
Gurdurr,#0533,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Mossfell Confluence, Fellhorn Gorge, Paradise Barrens Tera Raid Battles (3★)


",,
Conkeldurr,#0534,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Tera Raid Battles (5★, 6★)


",,
Tympole,#0535,False,"Unobtainable


","Unobtainable


",,,
Palpitoad,#0536,False,"Unobtainable


","Unobtainable


",,,
Seismitoad,#0537,False,"Unobtainable


","Unobtainable


",,,
Throh,#0538,False,"Unobtainable


","Unobtainable


",,,
Sawk,#0539,False,"Unobtainable


","Unobtainable


",,,
Sewaddle,#0540,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Kitakami Road, Apple Hills, Loyalty Plaza, Mossfell Confluence, Wistful Fields Tera Raid Battles (1★)


",,
Swadloon,#0541,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Mossfell Confluence, Wistful Fields Tera Raid Battles (3★)


",,
Leavanny,#0542,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Mossfell Confluence,  Wistful Fields Tera Raid Battles (4★, 6★)


",,
Venipede,#0543,False,"Unobtainable


","Unobtainable


",,,
Whirlipede,#0544,False,"Unobtainable


","Unobtainable


",,,
Scolipede,#0545,False,"Unobtainable


","Unobtainable


",,,
Cottonee,#0546,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Coastal Biome Tera Raid Battles (2★)


",,
Whimsicott,#0547,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Coastal Biome Tera Raid Battles (4★, 6★)


",,
Petilil,#0548,False,South Province: Area Four West Province: Area One Tera Raid Battles (1★),South Province: Area Four West Province: Area One Tera Raid Battles (1★),"Reveler's Road, Kitakami Hall, Mossfell Confluence, Wistful Fields, Paradise Barrens


",,
Lilligant,#0549,False,"South Province: Area Four, Area Six (Unovan Form) West Province: Area Three (Unovan Form) North Province: Area Three (Unovan Form) Tera Raid Battles (4★) (Unovan Form) Transfer from Pokémon HOME or Evolve Petilil in Pokémon Legends: Arceus (Hisuian Form)","South Province: Area Four, Area Six (Unovan Form) West Province: Area Three (Unovan Form) North Province: Area Three (Unovan Form) Tera Raid Battles (4★) (Unovan Form) Transfer from Pokémon HOME or Evolve Petilil in Pokémon Legends: Arceus (Hisuian Form)","Evolve Petilil (Unovan Form)  Evolve Petilil in Pokémon Legends: Arceus via Pokémon HOME (Hisuian Form)


",,
Basculin,#0550,False,"South Province: Area One, Area Two, Area Three, Area Four, Area Five, Area Six (Red/ Blue- Striped Forms) East Province: Area Two, Area Three (Red/ Blue- Striped Forms) West Province: Area One, Area Two, Area Three (Red/ Blue- Striped Forms) North Province: Glaseado Mountain (Red/ Blue- Striped Forms) Tera Raid Battles (3★) (Red- Striped Form) Trade (White- Striped Form)","South Province: Area One, Area Two, Area Three, Area Four, Area Five, Area Six (Red/ Blue- Striped Forms) East Province: Area Two, Area Three (Red/ Blue- Striped Forms) West Province: Area One, Area Two, Area Three (Red/ Blue- Striped Forms) North Province: Glaseado Mountain (Red/ Blue- Striped Forms) Tera Raid Battles (3★) (Red- Striped Form) Trade (White- Striped Form)","Timeless Woods (White- Striped Form) Tera Raid Battles (3★) (White- Striped Form)


",,
Sandile,#0551,False,West Province: Asado Desert Tera Raid Battles (2★),West Province: Asado Desert Tera Raid Battles (2★),"Savanna Biome


",,
Krokorok,#0552,False,Tera Raid Battles (4★),Tera Raid Battles (4★),"Savanna Biome


",,
Krookodile,#0553,False,Tera Raid Battles (5★),Tera Raid Battles (5★),"Savanna Biome


",,
Darumaka,#0554,False,"Unobtainable


","Unobtainable


",,,
Darmanitan,#0555,False,"Unobtainable


","Unobtainable


",,,
Maractus,#0556,False,"Unobtainable


","Unobtainable


",,,
Dwebble,#0557,False,"Unobtainable


","Unobtainable


",,,
Crustle,#0558,False,"Unobtainable


","Unobtainable


",,,
Scraggy,#0559,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Canyon Biome, Chargestone Cavern Tera Raid Battles (1★)


",,
Scrafty,#0560,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Canyon Biome, Chargestone Cavern Tera Raid Battles (4★)


",,
Sigilyph,#0561,False,"Unobtainable


","Unobtainable


",,,
Yamask,#0562,False,"Unobtainable


","Unobtainable


",,,
Cofagrigus,#0563,False,"Unobtainable


","Unobtainable


",,,
Tirtouga,#0564,False,"Unobtainable


","Unobtainable


",,,
Carracosta,#0565,False,"Unobtainable


","Unobtainable


",,,
Archen,#0566,False,"Unobtainable


","Unobtainable


",,,
Archeops,#0567,False,"Unobtainable


","Unobtainable


",,,
Trubbish,#0568,False,"Unobtainable


","Unobtainable


",,,
Garbodor,#0569,False,"Unobtainable


","Unobtainable


",,,
Zorua,#0570,False,"East Province: Tagtree Thicket (May disguise as other Pokémon) (Unovan Form) West Province: Area Three (May disguise as other Pokémon) (Unovan Form) Tera Raid Battles (3★) (Unovan Form) Breed Event/transferred Hisuian Zoroark (Hisuian Form)


","East Province: Tagtree Thicket (May disguise as other Pokémon) (Unovan Form) West Province: Area Three (May disguise as other Pokémon) (Unovan Form) Tera Raid Battles (3★) (Unovan Form) Breed Event/transferred Hisuian Zoroark (Hisuian Form)


",,,
Zoroark,#0571,False,"North Province: Socarrat Trail  (May disguise as other Pokémon) (Unovan Form) Tera Raid Battles (5★) (Unovan Form) Pokémon HOME, Event (Hisuian Form)


","North Province: Socarrat Trail  (May disguise as other Pokémon) (Unovan Form) Tera Raid Battles (5★) (Unovan Form) Pokémon HOME, Event (Hisuian Form)


",,,
Minccino,#0572,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Canyon Biome, Chargestone Cavern, Polar Biome Tera Raid Battles (2★)


",,
Cinccino,#0573,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Canyon Biome, Chargestone Cavern, Polar Biome


",,
Gothita,#0574,False,East Province: Area Three Tera Raid Battles (2★),East Province: Area Three Tera Raid Battles (2★),"Coastal Biome, Torchlit Labyrinth


",,
Gothorita,#0575,False,South Province: Area Six Tera Raid Battles (3★),South Province: Area Six Tera Raid Battles (3★),"Coastal Biome, Torchlit Labyrinth


",,
Gothitelle,#0576,False,South Province: Area Six Tera Raid Battles (5★),South Province: Area Six Tera Raid Battles (5★),"Coastal Biome, Torchlit Labyrinth


",,
Solosis,#0577,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Chargestone Cavern, Polar Biome Tera Raid Battles (2★)


",,
Duosion,#0578,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Chargestone Cavern, Polar Biome Tera Raid Battles (3★)


",,
Reuniclus,#0579,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Chargestone Cavern, Polar Biome Tera Raid Battles (5★, 6★)


",,
Ducklett,#0580,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Mossfell Confluence, Fellhorn Gorge, Oni Mountain, Kitakami Wilds Tera Raid Battles (1★)


",,
Swanna,#0581,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Fellhorn Gorge, Kitakami Wilds Tera Raid Battles (4★)


",,
Vanillite,#0582,False,"Unobtainable


","Unobtainable


",,,
Vanillish,#0583,False,"Unobtainable


","Unobtainable


",,,
Vanilluxe,#0584,False,"Unobtainable


","Unobtainable


",,,
Deerling,#0585,False,"South Province: Area One, Area Two, Area Three, Area Four, Area Five (Spring Form) East Province: Area One, Area Two (Summer Form) West Province: Area Two, Area Three (Autumn Form) North Province: Dalizapa Passage, Glaseado Mountain (Winter Form) Tera Raid Battles (1★) (Spring Form)","South Province: Area One, Area Two, Area Three, Area Four, Area Five (Spring Form) East Province: Area One, Area Two (Summer Form) West Province: Area Two, Area Three (Autumn Form) North Province: Dalizapa Passage, Glaseado Mountain (Winter Form) Tera Raid Battles (1★) (Spring Form)","Savanna Biome (Spring Form) Coastal Biome, Torchlit Labyrinth (Summer Form) Canyon Biome, Chargestone Cavern (Autumn Form) Polar Biome (Winter Form)


",,
Sawsbuck,#0586,False,"South Province: Area Six (Spring Form) West Province: Area Three (Autumn Form) North Province: Socarrat Trail (Autumn Form) North Province: Area One, Dalizapa Passage, Glaseado Mountain (Winter Form) Evolve Deerling (Summer Form) Tera Raid Battles (4★) (Spring Form)","South Province: Area Six (Spring Form) West Province: Area Three (Autumn Form) North Province: Socarrat Trail (Autumn Form) North Province: Area One, Dalizapa Passage, Glaseado Mountain (Winter Form) Evolve Deerling (Summer Form) Tera Raid Battles (4★) (Spring Form)","Savanna Biome (Spring Form) Coastal Biome, Torchlit Labyrinth (Summer Form) Canyon Biome, Chargestone Cavern (Autumn Form) Polar Biome (Winter Form)


",,
Emolga,#0587,False,"Unobtainable


","Unobtainable


",,,
Karrablast,#0588,False,"Unobtainable


","Unobtainable


",,,
Escavalier,#0589,False,"Unobtainable


","Unobtainable


",,,
Foongus,#0590,False,"East Province: Tagtree Thicket West Province: Area Three North Province: Area Two Tera Raid Battles (2★)


","East Province: Tagtree Thicket West Province: Area Three North Province: Area Two Tera Raid Battles (2★)


",,,
Amoonguss,#0591,False,"North Province: Area Two, Socarrat Trail Tera Raid Battles (5★, 6★)


","North Province: Area Two, Socarrat Trail Tera Raid Battles (5★, 6★)


",,,
Frillish,#0592,False,"Unobtainable


","Unobtainable


",,,
Jellicent,#0593,False,"Unobtainable


","Unobtainable


",,,
Alomomola,#0594,False,North Paldean Sea Tera Raid Battles (4★),North Paldean Sea Tera Raid Battles (4★),"Coastal Biome, Torchlit Labyrinth, Canyon Biome, Chargestone Cavern


",,
Joltik,#0595,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Canyon Biome, Chargestone Cavern, Polar Biome Tera Raid Battles (1★)


",,
Galvantula,#0596,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Canyon Biome, Chargestone Cavern, Polar Biome Tera Raid Battles (4★)


",,
Ferroseed,#0597,False,"Unobtainable


","Unobtainable


",,,
Ferrothorn,#0598,False,"Unobtainable


","Unobtainable


",,,
Klink,#0599,False,"Unobtainable


","Unobtainable


",,,
Klang,#0600,False,"Unobtainable


","Unobtainable


",,,
Klinklang,#0601,False,"Unobtainable


","Unobtainable


",,,
Tynamo,#0602,False,West Province: West Paldean Sea North Province: North Paldean Sea Tera Raid Battles (1★),West Province: West Paldean Sea North Province: North Paldean Sea Tera Raid Battles (1★),"Oni Mountain, Chilling Waterhead Savanna Biome, Canyon Biome, Chargestone Cavern, Polar Biome


",,
Eelektrik,#0603,False,South Province: South Paldean Sea West Province: West Paldean Sea North Province: North Paldean Sea Tera Raid Battles (4★),South Province: South Paldean Sea West Province: West Paldean Sea North Province: North Paldean Sea Tera Raid Battles (4★),"Kitakami Wilds, Timeless Woods Savanna Biome, Canyon Biome, Chargestone Cavern, Polar Biome


",,
Eelektross,#0604,False,North Province: Area One (Dragon Tera Type) Tera Raid Battles (5★),North Province: Area One (Dragon Tera Type) Tera Raid Battles (5★),"Canyon Biome, Chargestone Cavern, Polar Biome


",,
Elgyem,#0605,False,"Unobtainable


","Unobtainable


",,,
Beheeyem,#0606,False,"Unobtainable


","Unobtainable


",,,
Litwick,#0607,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Oni Mountain, Infernal Pass, Crystal Pool, Kitakami Wilds, Timeless Woods Tera Raid Battles (2★)


",,
Lampent,#0608,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Timeless Woods Tera Raid Battles (4★)


",,
Chandelure,#0609,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Tera Raid Battles (5★, 6★)


",,
Axew,#0610,False,"South Province: Area Five North Province: Area One, Dalizapa Passage West Province: Area One (Ground Tera Type) Tera Raid Battles (3★)","South Province: Area Five North Province: Area One, Dalizapa Passage West Province: Area One (Ground Tera Type) Tera Raid Battles (3★)","Canyon Biome, Polar Biome


",,
Fraxure,#0611,False,"North Province: Area One, Dalizapa Passage Tera Raid Battles (4★)","North Province: Area One, Dalizapa Passage Tera Raid Battles (4★)","Canyon Biome, Polar Biome


",,
Haxorus,#0612,False,"Tera Raid Battles (5★, 6★)


","Tera Raid Battles (5★, 6★)


",,,
Cubchoo,#0613,False,"North Province: Dalizapa Passage, Glaseado Mountain Tera Raid Battles (3★)","North Province: Dalizapa Passage, Glaseado Mountain Tera Raid Battles (3★)","Chargestone Cavern, Polar Biome


",,
Beartic,#0614,False,North Province: Glaseado Mountain Tera Raid Battles (4★),North Province: Glaseado Mountain Tera Raid Battles (4★),"Chargestone Cavern, Polar Biome


",,
Cryogonal,#0615,False,"North Province: Glaseado Mountain Tera Raid Battles (4★)


","North Province: Glaseado Mountain Tera Raid Battles (4★)


",,,
Shelmet,#0616,False,"Unobtainable


","Unobtainable


",,,
Accelgor,#0617,False,"Unobtainable


","Unobtainable


",,,
Stunfisk,#0618,False,"Unobtainable


","Unobtainable


",,,
Mienfoo,#0619,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Kitakami Road, Apple Hills, Oni Mountain, Chilling Waterhead, Wistful Fields, Paradise Barrens Tera Raid Battles (3★)


",,
Mienshao,#0620,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Tera Raid Battles (5★, 6★)


",,
Druddigon,#0621,False,"Unobtainable


","Unobtainable


",,,
Golett,#0622,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Canyon Biome, Chargestone Cavern, Polar Biome Tera Raid Battles (3★)


",,
Golurk,#0623,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Canyon Biome, Chargestone Cavern, Polar Biome Tera Raid Battles (5★, 6★)


",,
Pawniard,#0624,False,South Province: Area Five East Province: Area Three North Province: Area Two Tera Raid Battles (2★),South Province: Area Five East Province: Area Three North Province: Area Two Tera Raid Battles (2★),"Fellhorn Gorge, Oni Mountain,  Wistful Fields, Kitakami Wilds, Timeless Woods


",,
Bisharp,#0625,False,North Province: Area Two Area Zero Tera Raid Battles (4★),North Province: Area Two Area Zero Tera Raid Battles (4★),"Timeless Woods


",,
Bouffalant,#0626,False,"Unobtainable


","Unobtainable


",,,
Rufflet,#0627,False,"South Province: Area One, Area Three, Area Four, Area Six East Province: Area Three West Province: Asado Desert North Province: Area One, Area Two, Dalizapa Passage, Glaseado Mountain Tera Raid Battles (3★)","South Province: Area One, Area Three, Area Four, Area Six East Province: Area Three West Province: Asado Desert North Province: Area One, Area Two, Dalizapa Passage, Glaseado Mountain Tera Raid Battles (3★)","Savanna Biome


",,
Braviary,#0628,False,West Province: Asado Desert (Unovan Form) North Province: Area One (Unovan Form) Tera Raid Battles (5★) (Unovan Form) Evolve Rufflet in Pokémon Legends: Arceus via Pokémon HOME (Hisuian Form),West Province: Asado Desert (Unovan Form) North Province: Area One (Unovan Form) Tera Raid Battles (5★) (Unovan Form) Evolve Rufflet in Pokémon Legends: Arceus via Pokémon HOME (Hisuian Form),"Savanna Biome (Unovan Form)   Evolve Rufflet in Pokémon Legends: Arceus via Pokémon HOME (Hisuian Form)


",,
Vullaby,#0629,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Fellhorn Gorge, Oni Mountain, Wistful Fields, Paradise Barrens, Kitakami Wilds Savanna Biome Tera Raid Battles (3★)


",,
Mandibuzz,#0630,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Savanna Biome Tera Raid Battles (5★, 6★)


",,
Heatmor,#0631,False,"Unobtainable


","Unobtainable


",,,
Durant,#0632,False,"Unobtainable


","Unobtainable


",,,
Deino,#0633,False,"South Province: Alfornada Cavern North Province: Area Two, Dalizapa Passage, Glaseado Mountain Tera Raid Battles (3★)","Union Circle Tera Raid Battle Search (3★)


",,,
Zweilous,#0634,False,"North Province: Area Two, Glaseado Mountain Area Zero Tera Raid Battles (4★)","Union Circle Tera Raid Battle Search (4★)


",,,
Hydreigon,#0635,False,"Tera Raid Battles (5★, 6★)","Tera Raid Battle Search (5★, 6★)


",,,
Larvesta,#0636,False,"West Province: Asado Desert Tera Raid Battles (3★)


","West Province: Asado Desert Tera Raid Battles (3★)


",,,
Volcarona,#0637,False,"Area Zero Tera Raid Battles (5★, 6★)


","Area Zero Tera Raid Battles (5★, 6★)


",,,
Cobalion,#0638,False,Trade Version 3.0.0+,Trade Version 3.0.0+,,North Province: Area Two after receiving the Cobalion Treat from Snacksworth (Only one) (Group Quest),"North Province: Area Two after receiving the Cobalion Treat from Snacksworth (Only one) (Solo Quest)


"
Terrakion,#0639,False,Trade Version 3.0.0+,Trade Version 3.0.0+,,West Province: Area One after receiving the Terrakion Treat from Snacksworth (Only one) (Group Quest),"West Province: Area One after receiving the Terrakion Treat from Snacksworth (Only one) (Solo Quest)


"
Virizion,#0640,False,Trade Version 3.0.0+,Trade Version 3.0.0+,,Tagtree Thicket after receiving the Virizion Treat from Snacksworth (Only one) (Group Quest),"Tagtree Thicket after receiving the Virizion Treat from Snacksworth (Only one) (Solo Quest)


"
Tornadus,#0641,False,"Pokémon HOME


","Pokémon HOME


",,,
Thundurus,#0642,False,"Pokémon HOME


","Pokémon HOME


",,,
Reshiram,#0643,False,Trade Version 3.0.0+,Trade Version 3.0.0+,,East Province: Area One after receiving the Reshiram Treat from Snacksworth (Only one) (Solo Quest),"East Province: Area One after receiving the Reshiram Treat from Snacksworth (Only one) (Group Quest)


"
Zekrom,#0644,False,Trade Version 3.0.0+,Trade Version 3.0.0+,,South Province: Area Five after receiving the Zekrom Treat from Snacksworth (Only one) (Group Quest),"South Province: Area Five after receiving the Zekrom Treat from Snacksworth (Only one) (Solo Quest)


"
Landorus,#0645,False,"Pokémon HOME


","Pokémon HOME


",,,
Kyurem,#0646,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Dalizapa Passage after receiving the Kyurem Treat from Snacksworth (Only one) (Group Quest)


",,
Keldeo,#0647,False,"Pokémon HOME, Event Version 3.0.0+


","Pokémon HOME, Event Version 3.0.0+


",,,
Meloetta,#0648,False,Pokémon HOME,Pokémon HOME,"Coastal Biome (Only one)


",,
Genesect,#0649,False,"Unobtainable


","Unobtainable


",,,
Chespin,#0650,False,Trade,Trade,"Chargestone Cavern (after boosting biodiversity in the Canyon Biome)


",,
Quilladin,#0651,False,Trade,Trade,"Evolve Chespin


",,
Chesnaught,#0652,False,"Trade, Poké Portal News","Trade, Poké Portal News","Evolve Quilladin


",,
Fennekin,#0653,False,Trade,Trade,"Savanna Biome (after boosting biodiversity in the Savanna Biome)


",,
Braixen,#0654,False,Trade,Trade,"Evolve Fennekin


",,
Delphox,#0655,False,"Trade, Poké Portal News","Trade, Poké Portal News","Evolve Braixen


",,
Froakie,#0656,False,Trade,Trade,"Coastal Biome (after boosting biodiversity in the Coastal Biome)


",,
Frogadier,#0657,False,Trade,Trade,"Evolve Froakie


",,
Greninja,#0658,False,"Trade, Poké Portal News (Standard Greninja) Pokémon HOME (Battle Bond Greninja)","Trade, Poké Portal News (Standard Greninja) Pokémon HOME (Battle Bond Greninja)","Evolve Frogadier (Standard Greninja)


",,
Bunnelby,#0659,False,"Unobtainable


","Unobtainable


",,,
Diggersby,#0660,False,"Unobtainable


","Unobtainable


",,,
Fletchling,#0661,False,"South Province: Area One, Area Two, Area Five, Poco Path South Province: Area Two (Fire Tera Type) Tera Raid Battles (2★)","South Province: Area One, Area Two, Area Five, Poco Path South Province: Area Two (Fire Tera Type) Tera Raid Battles (2★)","Coastal Biome, Torchlit Labyrinth, Canyon Biome


",,
Fletchinder,#0662,False,"South Province: Area One, Area Three, Area Four, Area Five East Province: Area One West Province: Area One, Area Three Tera Raid Battles (3★)","South Province: Area One, Area Three, Area Four, Area Five East Province: Area One West Province: Area One, Area Three Tera Raid Battles (3★)","Coastal Biome, Torchlit Labyrinth, Canyon Biome


",,
Talonflame,#0663,False,"South Province: Area Three Area Zero Tera Raid Battles (5★, 6★)","South Province: Area Three Area Zero Tera Raid Battles (5★, 6★)","Coastal Biome, Torchlit Labyrinth


",,
Scatterbug,#0664,False,"South Province: Area One, Area Five, Poco Path


","South Province: Area One, Area Five, Poco Path


",,,
Spewpa,#0665,False,"South Province: Area One, Area Four


","South Province: Area One, Area Four


",,,
Vivillon,#0666,False,"Evolve Spewpa hatched in Paldea, Kitakami, or at the Blueberry Academy (Fancy Pattern) East Province: East Paldean Sea (Fancy Pattern)* North Province: Area One, Area Two, Area Three (Fancy Pattern)* Send a postcard from Pokémon G O (All Other Patterns)* Pokémon HOME (Poké Ball Pattern)


","Evolve Spewpa hatched in Paldea, Kitakami, or at the Blueberry Academy (Fancy Pattern) East Province: East Paldean Sea (Fancy Pattern)* North Province: Area One, Area Two, Area Three (Fancy Pattern)* Send a postcard from Pokémon G O (All Other Patterns)* Pokémon HOME (Poké Ball Pattern)


",,,
Litleo,#0667,False,"South Province: Area One, Area Three, Area Five East Province: Area One, Area Two Tera Raid Battles (1★)","South Province: Area One, Area Three, Area Five East Province: Area One, Area Two Tera Raid Battles (1★)","Savanna Biome


",,
